"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::Austria","Austria"
"Customweb_OPPCw::Author","Author"
"Customweb_OPPCw::Authorization Amount","Authorisation Amount"
"Customweb_OPPCw::Authorization Failed","Authorisation failed"
"Customweb_OPPCw::Authorization Method","Authorisation Method"
"Customweb_OPPCw::Authorization is uncertain.","Authorisation is uncertain"
"Customweb_OPPCw::Authorization method 'Payment Page' does not support alias manager.","Authorization method 'Payment Page' does not support alias manager."
"Customweb_OPPCw::Authorized Status","Authorised status"
"Customweb_OPPCw::Await Notification","Await Notification"
"Customweb_OPPCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_OPPCw::BIC","BIC"
"Customweb_OPPCw::BIC: !bic","BIC: !bic"
"Customweb_OPPCw::Bad signature format.","False signature format."
"Customweb_OPPCw::Bancontact","Bancontact"
"Customweb_OPPCw::Bank Code: !bank","Bank Code: !bank"
"Customweb_OPPCw::Bank Country: !country","Bank Country: !country"
"Customweb_OPPCw::Bank Location","Bank Location"
"Customweb_OPPCw::Bank Name","Bank Name"
"Customweb_OPPCw::Bank account number","Bank account number (IBAN)"
"Customweb_OPPCw::Bank code number","Bank code number"
"Customweb_OPPCw::Bank data","Bank data"
"Customweb_OPPCw::Basic","Basic"
"Customweb_OPPCw::Before payment selection","Before selection of the payment method"
"Customweb_OPPCw::Before showing payment method","Before showing payment method"
"Customweb_OPPCw::Belgium","Belgium"
"Customweb_OPPCw::Beside the default channel id a set of channel ids depending on the order total amount can be defined. Each line must contain a lower amount, an upper amount and the applicable channel id. The format is as follow 'lower amount;upper amount;channel id'. The following example shows a conrete on: '10.00;200.00;23413113213131231353' The upper boundaries are not included. If you leave this field empty or if a amount is outside any range the default channel id is applied. If multiple conditions match, the last one is taken.","Beside the default channel ID a set of channel IDs depending on the order total amount can be defined. Each line must contain a lower amount, an upper amount and the applicable Channel ID. The format is as follow 'lower amount;upper amount;Channel ID' as shown in the following example: '10.00;200.00;23413113213131231353'. The upper boundaries are not included. If you leave this field empty or if an amount is outside any range the default channel id is applied. If multiple conditions match the last one is taken."
"Customweb_OPPCw::BillSAFE","BillSAFE"
"Customweb_OPPCw::BillSAFE (supports Payment Page and Hidden Authorization)","BillSAFE (supports Payment Page and Hidden Authorization)"
"Customweb_OPPCw::Billing Address","Billing Address"
"Customweb_OPPCw::Billing Information","Billing information"
"Customweb_OPPCw::Billing address","Billing address"
"Customweb_OPPCw::Boni score result","Boni score result"
"Customweb_OPPCw::Brand","Brand"
"Customweb_OPPCw::Brand Code","Brand Code"
"Customweb_OPPCw::Brand Name","Brand Name"
"Customweb_OPPCw::Buy","Buy"
"Customweb_OPPCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","With the capture setting, the transaction can be captured directly after the order or later manually over the backend of the store."
"Customweb_OPPCw::COPYandPAY Style","COPYandPAY Style"
"Customweb_OPPCw::CVC Code","CVC Code"
"Customweb_OPPCw::CVC:","CVC:"
"Customweb_OPPCw::Cache Timeout","Cache Timeout"
"Customweb_OPPCw::Cancel","Cancel"
"Customweb_OPPCw::Cancel ID","Cancel ID"
"Customweb_OPPCw::Cancel pending orders when out of stock","Cancel pending orders when out of stock"
"Customweb_OPPCw::Cancel status","Cancel status"
"Customweb_OPPCw::Canceled OPPCw","Canceled OPPCw"
"Customweb_OPPCw::Canceling of this payment not possible!","Cancellation of this payment not possible!"
"Customweb_OPPCw::Cancellation is not supported by this transaction.","Cancellation is not supported by this transaction."
"Customweb_OPPCw::Cancelled Status","Cancelled status"
"Customweb_OPPCw::Cannot redirect from a deferred capture","Cannot redirect from a deferred capture"
"Customweb_OPPCw::Cannot update item quantity.","Cannot update item quantity."
"Customweb_OPPCw::Capture Amount","Amount to capture"
"Customweb_OPPCw::Capture ID","Capture ID"
"Customweb_OPPCw::Capture amount","Capture amount"
"Customweb_OPPCw::Capture information","Capture information"
"Customweb_OPPCw::Capture status","Capture status"
"Customweb_OPPCw::Capture: Don't Close","Capture: Don't close"
"Customweb_OPPCw::Captured Amount","Captured amount"
"Customweb_OPPCw::Captured Status","Captured status"
"Customweb_OPPCw::Captures","Captures"
"Customweb_OPPCw::Captures & Refunds","Captures & Refunds"
"Customweb_OPPCw::Capturing","Capturing"
"Customweb_OPPCw::Card","Card"
"Customweb_OPPCw::Card Brand","Card Brand"
"Customweb_OPPCw::Card CVC/2","Card CVC/2"
"Customweb_OPPCw::Card Expiration","Expiry Date"
"Customweb_OPPCw::Card Expiry","Card expiry date"
"Customweb_OPPCw::Card Holder Name","Card holder name"
"Customweb_OPPCw::Card Number","Card number"
"Customweb_OPPCw::Card Type","Credit card type"
"Customweb_OPPCw::Card to use","Card to use"
"Customweb_OPPCw::Cardnumber:","Cardnumber:"
"Customweb_OPPCw::Cardtype:","Cardtype:"
"Customweb_OPPCw::Carrier Title","Carrier Title"
"Customweb_OPPCw::Carte Bleue","Carte Bleue"
"Customweb_OPPCw::Channel Conditions","Channel Conditions"
"Customweb_OPPCw::Channel ID","Channel ID"
"Customweb_OPPCw::Channel ID (MoTo)","Channel ID (MoTo)"
"Customweb_OPPCw::Channel ID (No 3D secure)","Channel ID (No 3D secure)"
"Customweb_OPPCw::Check out faster","Check out faster"
"Customweb_OPPCw::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_OPPCw::Checkout","Checkout"
"Customweb_OPPCw::Checkout as Guest","Checkout as a guest"
"Customweb_OPPCw::Checkout as a Guest or Register","Checkout as a guest or register"
"Customweb_OPPCw::Checkout as a new customer","Checkout as a new customer"
"Customweb_OPPCw::Checkout using your account","Checkout using your account"
"Customweb_OPPCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status."
"Customweb_OPPCw::City","City"
"Customweb_OPPCw::Classes","Classes"
"Customweb_OPPCw::Color","Color"
"Customweb_OPPCw::Company Commercial Number","Company Commercial Number"
"Customweb_OPPCw::Company VAT Number","Company VAT Number"
"Customweb_OPPCw::Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>.","Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>."
"Customweb_OPPCw::Confirm Mandate","Confirm Mandate"
"Customweb_OPPCw::Confirm Password","Confirm Password"
"Customweb_OPPCw::Connector Test Mode","Connector Test Mode"
"Customweb_OPPCw::Connector Transaction ID","Connector Transaction ID"
"Customweb_OPPCw::Consumer score type invalid.","Consumer score type invalid."
"Customweb_OPPCw::Continue","Continue"
"Customweb_OPPCw::Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter.","Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter."
"Customweb_OPPCw::Copy the shown encryption key into the configuration.","Copy the shown encryption key into the configuration."
"Customweb_OPPCw::Could not add proposed address changes.","Could not add proposed address changes."
"Customweb_OPPCw::Could not convert object of type '!type' to string.","Could not convert object of type '!type' to string."
"Customweb_OPPCw::Could not execute scheduled update.","Could not execute scheduled update."
"Customweb_OPPCw::Could not find a brand for the given card number.","Could not find a brand for the given card number."
"Customweb_OPPCw::Could not find an adapter for the authoriztion method !methodName.","Could not find an adapter for the authoriztion method !methodName."
"Customweb_OPPCw::Could not find pressed button.","Could not find pressed button."
"Customweb_OPPCw::Could not find template file at default location '!location'.","Could not find template file at default location '!location'."
"Customweb_OPPCw::Could not find the payment method !paymentMethodName.","Could not find the payment method !paymentMethodName."
"Customweb_OPPCw::Could not load layout from URL !url. Reason: !reason","Could not load layout from URL !url. Reason: !reason"
"Customweb_OPPCw::Country","Country"
"Customweb_OPPCw::Country Restriction","Country Restriction"
"Customweb_OPPCw::Create Account","Create Account"
"Customweb_OPPCw::Create New Order - Payment","Create New Order - Payment"
"Customweb_OPPCw::Create a recurring payment, with an existing alias is not supported","Creating a recurring payment with an existing alias is not supported."
"Customweb_OPPCw::Creating an account has many benefits:","Creating an account has many benefits:"
"Customweb_OPPCw::Creation Date","Creation Date"
"Customweb_OPPCw::Credit Card Brands","Credit Card Brands"
"Customweb_OPPCw::Credit Card Number","Credit Card Number"
"Customweb_OPPCw::Credit Memo History","Credit Memo History"
"Customweb_OPPCw::Credit Memo Totals","Credit Memo Totals"
"Customweb_OPPCw::Credit memo's total must be positive.","Credit memo's total must be positive."
"Customweb_OPPCw::Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank.","Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank."
"Customweb_OPPCw::Creditworthiness was denied.","Creditworthiness was denied."
"Customweb_OPPCw::Currency","Currency"
"Customweb_OPPCw::Current Configuration Scope:","Current Configuration Scope:"
"Customweb_OPPCw::Custom CSS Url","Custom CSS URL"
"Customweb_OPPCw::Custom Cancel Button","Custom Cancel Button"
"Customweb_OPPCw::Custom JS Url","Custom JS URL"
"Customweb_OPPCw::Custom Parameters","Custom Parameters"
"Customweb_OPPCw::Custom Pay Button","Custom Pay Button"
"Customweb_OPPCw::Customer Account","Customer account"
"Customweb_OPPCw::Customer Alias Management","Customer Alias Management"
"Customweb_OPPCw::Customer Date of Birth","Customer Date of Birth"
"Customweb_OPPCw::Customer Gender","Customer Gender"
"Customweb_OPPCw::Customer Phone Number","Customer Phone Number"
"Customweb_OPPCw::Customer successfully returned from OPPCw","Customer successfully returned from OPPCw"
"Customweb_OPPCw::Customer successfully returned from Open Payment Platform","Customer successfully returned from the OPPCw payment page."
"Customweb_OPPCw::Customer sucessfully returned from the OPPCw payment page.","Customer successfully returned from the OPPCw payment page."
"Customweb_OPPCw::Customers","Customers"
"Customweb_OPPCw::Customweb","Customweb"
"Customweb_OPPCw::Czech Republic","Czech Republic"
"Customweb_OPPCw::Dankort","Dankort"
"Customweb_OPPCw::Date","Date"
"Customweb_OPPCw::Date of Birth","Date of birth"
"Customweb_OPPCw::Date of birth must be provided.","Date of birth must be provided."
"Customweb_OPPCw::Day","Day"
"Customweb_OPPCw::Deactivate","Deactivate"
"Customweb_OPPCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finalize your order please create an account below or checkout as a guest."
"Customweb_OPPCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_OPPCw::Debtor ID","Debtor ID"
"Customweb_OPPCw::Decline Message","Decline Message"
"Customweb_OPPCw::Declined by test data.","Declined by test data."
"Customweb_OPPCw::Default Config","Default Configuration"
"Customweb_OPPCw::Deferred","Deferred"
"Customweb_OPPCw::Deferred (authorization)","Deferred (authorisation)"
"Customweb_OPPCw::Deferred capturing","Deferred capturing"
"Customweb_OPPCw::Deferred settlement","Deferred settlement"
"Customweb_OPPCw::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_OPPCw::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_OPPCw::Define the height of the iframe element (only has an effect if iframe authorization is selected).","Define the height of the iFrame element (only effective if iFrame authorization is selected)."
"Customweb_OPPCw::Define the payment methods, the customer can choose from. List them separated by a space.","Define the payment methods the customer can choose from. List them separated by a space."
"Customweb_OPPCw::Define the style to be used for the COPYandPAY payment form.","Define the style to be used for the COPYandPAY payment form."
"Customweb_OPPCw::Delayed","Deferred"
"Customweb_OPPCw::Delete","Delete"
"Customweb_OPPCw::Delivery address","Delivery address"
"Customweb_OPPCw::Denied Payment Status","Denied Payment Status"
"Customweb_OPPCw::Deny scoring","Deny scoring"
"Customweb_OPPCw::Deptor ID","Debtor ID"
"Customweb_OPPCw::Description","Description"
"Customweb_OPPCw::Diners Club","Diners Club"
"Customweb_OPPCw::Direct (Payment Page / Hidden Authorization)","Direct (Payment Page / Hidden Authorization)"
"Customweb_OPPCw::Direct Debits","Direct Debits (ELV)"
"Customweb_OPPCw::Direct E-Banking","Direct E-Banking"
"Customweb_OPPCw::Direct capture after order","Direct capturing"
"Customweb_OPPCw::Directly after order","Direct capturing"
"Customweb_OPPCw::Directly after order (sale)","Direct capturing"
"Customweb_OPPCw::Disabled","Deactivated"
"Customweb_OPPCw::Discount","Discount"
"Customweb_OPPCw::Discount Amount","Discount Amount"
"Customweb_OPPCw::Discover","Discover"
"Customweb_OPPCw::Display","Display"
"Customweb_OPPCw::Display Conditions","Display Conditions"
"Customweb_OPPCw::Display Customer ID","Display Customer ID"
"Customweb_OPPCw::Do not display","Do not display"
"Customweb_OPPCw::Do not modify styling","Do not modify styling"
"Customweb_OPPCw::Do not send basket","Do not send basket"
"Customweb_OPPCw::Don't change order status","Don't change order status"
"Customweb_OPPCw::Due Date","Due Date"
"Customweb_OPPCw::During authorization","During the authorisation"
"Customweb_OPPCw::During the authorization","During the authorization"
"Customweb_OPPCw::Dynamic styling","Dynamic styling"
"Customweb_OPPCw::Edit","Edit"
"Customweb_OPPCw::Edit Invoice %s","Edit Invoice %s"
"Customweb_OPPCw::Email Address","Email Address"
"Customweb_OPPCw::Empty version number field name","Empty version number field name"
"Customweb_OPPCw::Enable or disable logging.","Enable or disable logging."
"Customweb_OPPCw::Enable the payment method","Enable this payment method"
"Customweb_OPPCw::Enabled","Enabled"
"Customweb_OPPCw::Enter the Security Sender, UserID and Password that is provided to you by Open Payment Platform.","Enter the Security Sender, User ID and Password  provided to you by Open Payment Platform."
"Customweb_OPPCw::Enter the date on which your card expires.","Enter the card expiry date."
"Customweb_OPPCw::Entity ID","Entity ID"
"Customweb_OPPCw::Entity ID (MoTo)","Entity ID (MoTo)"
"Customweb_OPPCw::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_OPPCw::Excl. Tax","Excl. Tax"
"Customweb_OPPCw::Expiry Date:","Expiry Date:"
"Customweb_OPPCw::Expiry Month","Expiry Month"
"Customweb_OPPCw::Expiry Year","Expiry Year"
"Customweb_OPPCw::External","External (Payment Requests will be sent to the acquiring systems)"
"Customweb_OPPCw::External Checkout","External Checkout"
"Customweb_OPPCw::External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Customweb_OPPCw::Failed","Failed"
"Customweb_OPPCw::Failed payment authorization.","The authorization failed."
"Customweb_OPPCw::FemaIframe Heightle","FemaIframe Heightle"
"Customweb_OPPCw::Female","Female"
"Customweb_OPPCw::Figure !number:","Figure !number:"
"Customweb_OPPCw::First name","First name"
"Customweb_OPPCw::For recurring and moto transactions to work, you have to specify a separate channel.","For recurring and moto transactions to work, you have to specify a separate channel."
"Customweb_OPPCw::Forgot Your Password?","Forgot Your Password?"
"Customweb_OPPCw::Forgot your password?","Forgot your password?"
"Customweb_OPPCw::Frontend API does not currently support transactions from country @country.","Frontend API does not currently support transactions from country @country."
"Customweb_OPPCw::Frontend Version (IFrame)","Frontend Version (IFrame)"
"Customweb_OPPCw::Frontend Version (Payment Page)","Frontend Version (Payment Page)"
"Customweb_OPPCw::Gender","Gender"
"Customweb_OPPCw::Gender is invalid.","Gender is invalid."
"Customweb_OPPCw::Gender is missing.","Gender is missing."
"Customweb_OPPCw::Germany","Germany (DE)"
"Customweb_OPPCw::Get Update","Get Update"
"Customweb_OPPCw::Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","Creditor ID: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER, authorise  !MERCHANT_NAME revocably to use the account information provided by me to directly debit my bank account for any future payments to be made. Also, I In addition, I instruct my bank to process the direct debit payments. <br/> <br/> Note: Within eight weeks from the debit date I can demand a refund for the debited amount. The conditions agreed upon with my credit institute apply.<br/> I hereby confirm the SEPA direct debit mandate."
"Customweb_OPPCw::Green","Green"
"Customweb_OPPCw::Hash calculating method","Hash calculating method"
"Customweb_OPPCw::Here you can activate Payone address checking.","Here you can activate Payone address checking."
"Customweb_OPPCw::Here you can activate a scoring check on transactions. Setting this option to inactive means that the values selected in allow scoring, uncertain scoring and deny scoring are ignored.","Here you can activate a scoring check on transactions. Setting this option to inactive means that the values selected in allow scoring, uncertain scoring and deny scoring are ignored."
"Customweb_OPPCw::Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page.","Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Open Payment Platform. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Open Payment Platform . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Open Payment Platform. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_OPPCw::Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution.","Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution."
"Customweb_OPPCw::Here you can set the maximum cart amount for which addresses should be checked.","Here you can set the maximum cart amount for which addresses should be checked."
"Customweb_OPPCw::Here you can set the maximum cart amount for which scoring should be checked.","Here you can set the maximum cart amount for which scoring should be checked."
"Customweb_OPPCw::Here you can set the maximum value for which addresses should be checked","Here you can set the maximum value for which addresses should be checked"
"Customweb_OPPCw::Here you can set the maximum value for which scoring should be checked","Here you can set the maximum value for which scoring should be checked"
"Customweb_OPPCw::Here you can set the minimum cart amount for which addresses should be checked.","Here you can set the minimum cart amount for which addresses should be checked."
"Customweb_OPPCw::Here you can set the minimum cart amount for which scoring should be checked.","Here you can set the minimum cart amount for which scoring should be checked."
"Customweb_OPPCw::Here you can set the minimum value for which addresses should be checked","Here you can set the minimum value for which addresses should be checked"
"Customweb_OPPCw::Here you can set the minimum value for which scoring should be checked","Here you can set the minimum value for which scoring should be checked"
"Customweb_OPPCw::Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information.","Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information."
"Customweb_OPPCw::Here you can set the time that a validation is valid, in hours.","Here you can set the time that a validation is valid, in hours."
"Customweb_OPPCw::Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used.","Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used."
