"Customweb_OPPCw::* Required Fields","* campo obbligatorio"
"Customweb_OPPCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se questo non aiuta, cambia il metodo di autorizzazione in PaymentPage e <a href=""%s"" target=""_blank"">contatta sellxed</a>."
"Customweb_OPPCw::Please log in below:","Log in"
"Customweb_OPPCw::Please pay the order to the following account.","Please pay the order to the following account."
"Customweb_OPPCw::Please read and accept the terms and conditions.","Leggi i termini e le condizioni"
"Customweb_OPPCw::Please select","Si prega di selezionare"
"Customweb_OPPCw::Please select a shipping method before sending the order.","Seleziona un metodo di spedizione prima di inviare l'ordine."
"Customweb_OPPCw::Please select a shipping provider.","Please select a shipping provider."
"Customweb_OPPCw::Please select the Bank Identifier Code (BIC) of your bank.","Seleziona il Bank Identifier Code (BIC) della  banca."
"Customweb_OPPCw::Please select the day of your birth.","Si prega di selezionare il giorno della tua nascita."
"Customweb_OPPCw::Please select the expiry month on your card.","Devi inserire il mese della scadenza della carta."
"Customweb_OPPCw::Please select the expiry year on your card.","Inserisci la data di scadenza della carta."
"Customweb_OPPCw::Please select the month of your birth.","Seleziona il mese di nascita."
"Customweb_OPPCw::Please select the point in the checkout process when the different checks should be processed.","Please select the point in the checkout process when the different checks should be processed."
"Customweb_OPPCw::Please select the processor by which the invoice should be processed.","Si prega di selezionare il processore con cui la fattura deve essere elaborata."
"Customweb_OPPCw::Please select the the year of your birth.","Si prega di selezionare l'anno di nascita."
"Customweb_OPPCw::Please specify the merchant id (EID) of your Klarna account.","Please specify the merchant id (EID) of your Klarna account."
"Customweb_OPPCw::Please wait...","Attendere.."
"Customweb_OPPCw::Poland","Polonia"
"Customweb_OPPCw::Portal ID","Portal ID"
"Customweb_OPPCw::Postal code","Postal code"
"Customweb_OPPCw::Price","Prezzo"
"Customweb_OPPCw::Process ID","Process ID"
"Customweb_OPPCw::Processor","Processore"
"Customweb_OPPCw::Product","Prodotto"
"Customweb_OPPCw::Product Name","Nome del prodotto"
"Customweb_OPPCw::Proposed address changes","Proposed address changes"
"Customweb_OPPCw::Purchase Point","Luogo di acquisto"
"Customweb_OPPCw::Qty","Quantità"
"Customweb_OPPCw::Quantity can not be larger than 999.","Quantity can not be larger than 999."
"Customweb_OPPCw::Received 'paid' action, however amount was incorrect (!actual instead of !expected).","Received 'paid' action, however amount was incorrect (!actual instead of !expected)."
"Customweb_OPPCw::Received message with action @action.","Received message with action @action."
"Customweb_OPPCw::Recurring Payments","Pagamenti ricorrenti"
"Customweb_OPPCw::Red","Red"
"Customweb_OPPCw::Redirection was required to url @url.","Redirection was required to url @url."
"Customweb_OPPCw::Reference No.","Reference No."
"Customweb_OPPCw::Refund (announcement) is only available for the full order, not only parts.","Refund (announcement) is only available for the full order, not only parts."
"Customweb_OPPCw::Refund Amount","Importo rimborsato"
"Customweb_OPPCw::Refund ID","ID rimborso"
"Customweb_OPPCw::Refund amount","Importo rimborsato"
"Customweb_OPPCw::Refund information","Informazione sul rimborso"
"Customweb_OPPCw::Refund status","Status rimborso"
"Customweb_OPPCw::Refunded Amount","Importo rimborsato"
"Customweb_OPPCw::Refunds","Crediti"
"Customweb_OPPCw::Register","Registrarsi"
"Customweb_OPPCw::Register to Create an Account","Iscriviti per creare un account"
"Customweb_OPPCw::Register with us for future convenience:","Iscriviti per facilitare la tua prossima visita:"
"Customweb_OPPCw::Release Date","Data di rilascio"
"Customweb_OPPCw::Review","Revisione"
"Customweb_OPPCw::Risk Based Capture","Risk Based Capture"
"Customweb_OPPCw::Rounding Adjustment","Arrotondamenti"
"Customweb_OPPCw::Rounding Fee","Rounding Fee"
"Customweb_OPPCw::Row Total","Totale riga"
"Customweb_OPPCw::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_OPPCw::SKU:","SKU:"
"Customweb_OPPCw::Sales","Vendite"
"Customweb_OPPCw::Sales Tax Number","Numero tasse vendite"
"Customweb_OPPCw::Save","Salva"
"Customweb_OPPCw::Saved cards:","Carte salvate"
"Customweb_OPPCw::Score","Score"
"Customweb_OPPCw::Scoring check executed","Scoring check executed"
"Customweb_OPPCw::Scoring check maximum","Scoring check maximum"
"Customweb_OPPCw::Scoring check minimum","Scoring check minimum"
"Customweb_OPPCw::Secret Key","Secret Key"
"Customweb_OPPCw::Secret for Encryption","Secret for Encryption"
"Customweb_OPPCw::Secret key","Secret key"
"Customweb_OPPCw::Security Hash","Security Hash"
"Customweb_OPPCw::Security Hash Secret","Security Hash"
"Customweb_OPPCw::Security Sender","Security Sender"
"Customweb_OPPCw::See order and shipping status","Controlla l'ordine e lo stato della spedizione"
"Customweb_OPPCw::Select 'ALL'","Select 'ALL'"
"Customweb_OPPCw::Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS.","Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS."
"Customweb_OPPCw::Select Brand","Seleziona Marca"
"Customweb_OPPCw::Select Method","Seleziona metodo"
"Customweb_OPPCw::Select the authorization method to use for processing this payment method.","Seleziona il metodo di autorizzazione da utilizzare per l'elaborazione di questo metodo di pagamento."
"Customweb_OPPCw::Select the date of your birth.","Inserisci la data di nascita"
"Customweb_OPPCw::Select the date on which your card expires.","Seleziona la data di scadenza della carta."
"Customweb_OPPCw::Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform.","Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform."
"Customweb_OPPCw::Selected IBAN","Selected IBAN"
"Customweb_OPPCw::Send Basket","Send Basket"
"Customweb_OPPCw::Send Invoice Email","Invia la fattura per email"
"Customweb_OPPCw::Send amounts to Open Payment Platform in base currency.","Invia l'importo a Open Payment Platform  in base alla valuta."
"Customweb_OPPCw::Send amounts to Open Payment Platform in store's base currency.","Invia importo a Open Payment Platform  nella valuta base del negozio."
"Customweb_OPPCw::Send basket","Send basket"
"Customweb_OPPCw::Send invoice email","Invia la fattura via email"
"Customweb_OPPCw::Send it by e-mail.","Send it by e-mail."
"Customweb_OPPCw::Send it by postal services.","Send it by postal services."
"Customweb_OPPCw::Send the invoice email automatically after invoice creation.","Invia la fattura automaticamente via email dopo averla creata."
"Customweb_OPPCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Per la 'Contabilizzazione diretta' l'importo viene contabilizzato direttamente dopo il pagamento completato. Per la 'Contabilizzazione ritardata' l'importo viene addebitato solo dopo un periodo di tempo definito da voi."
"Customweb_OPPCw::Set the sort order to show the external checkouts.","Impostare il criterio di ordine per visualizzare i checkout esterni."
"Customweb_OPPCw::Set to 'none'.","Set to 'none'."
"Customweb_OPPCw::Settlement after order","Creazione dopo l'ordine"
"Customweb_OPPCw::Setup","Setup"
"Customweb_OPPCw::Shipping & Handling","Shipping & Handling"
"Customweb_OPPCw::Shipping Address","Shipping Address"
"Customweb_OPPCw::Shipping Amount","Importo di spedizione"
"Customweb_OPPCw::Shipping Information","Informazioni di spedizione"
"Customweb_OPPCw::Shipping Method","Metodo di spedizione"
"Customweb_OPPCw::Shipping Methods","Metodi di spedizione"
"Customweb_OPPCw::Shipping Refund","Rimborso della spedizione"
"Customweb_OPPCw::Shipping provider","Shipping provider"
"Customweb_OPPCw::Shop","Shop"
"Customweb_OPPCw::Short Installation Instructions:","Istruzioni per l'installazione breve:"
"Customweb_OPPCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Qualora l'importo venga addebitato automaticamente dopo l'ordine (diretta) o solo bloccato (ritardato)?"
"Customweb_OPPCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information.","Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information."
"Customweb_OPPCw::Show","Mostra"
"Customweb_OPPCw::Show Account Selection","Mostra la selezione dell'account"
"Customweb_OPPCw::Show Further Settings and Information","Mostra ulteriori impostazioni e informazioni"
"Customweb_OPPCw::Show Image","Mostra immagine"
"Customweb_OPPCw::Show Payment Id","Mostra il Payment Id"
"Customweb_OPPCw::Show the payment id","Mostra il payment ID"
"Customweb_OPPCw::Show the payment id in the order information","Mostra il payment ID nell'informazione dell'ordine"
"Customweb_OPPCw::Show the payment image","Mostra l'immagine di pagamento"
"Customweb_OPPCw::Show the payment image on the checkout page","Mostra l'immagine di pagamento nella pagina di checkout"
"Customweb_OPPCw::Sign In","Log in"
"Customweb_OPPCw::Slovak Republic","Slovak Republic"
"Customweb_OPPCw::Social Security Number","Social Security Number"
"Customweb_OPPCw::Sorry, your payment request has been declined by AfterPay.","Sorry, your payment request has been declined by AfterPay."
"Customweb_OPPCw::Sort Code","Sort Code"
"Customweb_OPPCw::Sort Order","Sort Order"
"Customweb_OPPCw::Spain","Spagna"
"Customweb_OPPCw::State is required for country @country.","State is required for country @country."
"Customweb_OPPCw::Status","Stato"
"Customweb_OPPCw::Status Message","Messaggio status"
"Customweb_OPPCw::Store the payment details","Salvare i dati di pagamento"
"Customweb_OPPCw::Stored payment details","Dettagli di pagamento memorizzate"
"Customweb_OPPCw::Street","Street"
"Customweb_OPPCw::Sub Account ID","Sub Account ID"
"Customweb_OPPCw::Submit","Submit"
"Customweb_OPPCw::Submit Order","Conferma l'ordine"
"Customweb_OPPCw::Submitting order information...","Invio informazioni sull'ordine ..."
"Customweb_OPPCw::Subtotal","Totale parziale"
"Customweb_OPPCw::Success","Successo"
"Customweb_OPPCw::Successful","Successo"
"Customweb_OPPCw::Successful online refund of amount","Rimborso online dell'importo andato a buon fine."
"Customweb_OPPCw::Successful payment authorization.","Pagamento autorizzato con successo."
"Customweb_OPPCw::Successfull online refund of amount","Rimborso online dell'importo andato a buon fine."
"Customweb_OPPCw::Support","Supporto"
"Customweb_OPPCw::Switzerland","Svizzera (CH)"
"Customweb_OPPCw::Tax Amount","Importo Tassa"
"Customweb_OPPCw::Technical Issue Message","Technical Issue Message"
"Customweb_OPPCw::Technical issue: This payment methods is not available at the moment.","Problema tecnico: Questo metodo di pagamento non é disponibile in questo momento."
"Customweb_OPPCw::Terms and Conditions","Termini e condizioni"
"Customweb_OPPCw::Test Mode","Test Mode"
"Customweb_OPPCw::Test Transaction","Test per la transazione"
"Customweb_OPPCw::The 'Integrator Test Mode' sends all payments to Open Payment Platform, but no financial institute is contacted. In the 'Connector Test Mode' the transaction is sent to the corresponding financial institute as test transaction. In live mode all transactions are processed.","La 'Integrator Test Mode' invia tutti i pagamenti a Open Payment Platform, ma nessun istituto finanziario viene contattato. Nella 'Modalità Test Connector' la transazione viene inviata al corrispondente istituto finanziario come transazione di prova. In modalità live tutte le transazioni vengono elaborate."
"Customweb_OPPCw::The Entity ID is a unique key for the identification of the unit which sends transactions into the system.","The Entity ID is a unique key for the identification of the unit which sends transactions into the system."
"Customweb_OPPCw::The HMAC key as defined in the live backoffice of Open Payment Platform. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Open Payment Platform. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_OPPCw::The IBAN is invalid.","The IBAN is invalid."
"Customweb_OPPCw::The IBAN is missing.","The IBAN is missing."
"Customweb_OPPCw::The Klarna payment method cannot be used by companies.","The Klarna payment method cannot be used by companies."
"Customweb_OPPCw::The Klarna payment method cannot be used in the customer's country.","The Klarna payment method cannot be used in the customer's country."
"Customweb_OPPCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Lo schema mandato SEPA non contiene il tag '!tag' necessario."
"Customweb_OPPCw::The SHA signatures do not match.","La SHA signatures non corrisponde."
"Customweb_OPPCw::The VAT category is invalid.","The VAT category is invalid."
"Customweb_OPPCw::The VAT category is missing.","The VAT category is missing."
"Customweb_OPPCw::The VAT number is missing.","The VAT number is missing."
"Customweb_OPPCw::The alias could not be found.","L'alias non é stato trovato."
"Customweb_OPPCw::The alias has been deleted.","L'alias é stato cancellato."
"Customweb_OPPCw::The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Open Payment Platform.","L'Alias Manager consente al cliente di pagare con una carta di credito già salvata precedentemente. Questa carta di credito é salvata in ____ paymentServiceProviderName____."
"Customweb_OPPCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"Customweb_OPPCw::The amount could not be verified.","The amount could not be verified."
"Customweb_OPPCw::The amount of !amount is authorized.","La quantità di !amount é autorizzata."
"Customweb_OPPCw::The amount of !amount is captured.","La quantità di !amount é registrata."
"Customweb_OPPCw::The authorization is confirmed.","L'autorizzazione é stata approvata."
"Customweb_OPPCw::The authorization is denied: !errorMessage","L'autorizzazione é stata negata: !errorMessage"
"Customweb_OPPCw::The authorization method '!method' is not supported.","Il metodo autorizzazione '!method' non é supportato."
"Customweb_OPPCw::The authorization was denied.","The authorization was denied."
"Customweb_OPPCw::The authorization was not successful","The authorization was not successful"
"Customweb_OPPCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"Customweb_OPPCw::The brand with external name '!key' was not present in the map.","Il marchio con il nome esterno '!key' non era presente nella mappa."
"Customweb_OPPCw::The brand with key '!key' was not found in the card information map.","Il marchio con la chiave !key' non é stata trovata nella mappa dati della carta."
"Customweb_OPPCw::The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"Customweb_OPPCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La quantità da registrare (!captureAmount) non può essere superiore all'importo autorizzato (!authorizedAmount)."
"Customweb_OPPCw::The capture failed.","The capture failed."
"Customweb_OPPCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto registrato con SKU '@sku' a una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"Customweb_OPPCw::The capture item with SKU '@sku' is not present in the original order.","Il prodotto registrato con SKU '@sku' non é presente nell'ordine originale."
"Customweb_OPPCw::The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"Customweb_OPPCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"Customweb_OPPCw::The chamber of commerce number is incorrect.","The chamber of commerce number is incorrect."
"Customweb_OPPCw::The chamber of commerce number is missing.","The chamber of commerce number is missing."
"Customweb_OPPCw::The channel ID is a unique key for the identification of the unit which sends transactions into the system.","Il channel ID é una chiave univoca per identificare l'elemento che trasmette la transazione al sistema."
"Customweb_OPPCw::The comapny name is incorrect.","The comapny name is incorrect."
"Customweb_OPPCw::The company name is missing.","The company name is missing."
"Customweb_OPPCw::The company vat number number needs to be set.","The company vat number number needs to be set."
"Customweb_OPPCw::The configuration has been saved.","La configurazione é stata salvata."
"Customweb_OPPCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","La classe del controllore '@controller' non fornisce alcun metodo con annotazione 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod'   e un valido output."
"Customweb_OPPCw::The country code of the phone number is invalid.","The country code of the phone number is invalid."
"Customweb_OPPCw::The country code of the phone number is missing.","The country code of the phone number is missing."
"Customweb_OPPCw::The currency preference is invalid.","The currency preference is invalid."
"Customweb_OPPCw::The currency preference is missing.","The currency preference is missing."
"Customweb_OPPCw::The customer can decide, how to receive the invoice.","The customer can decide, how to receive the invoice."
"Customweb_OPPCw::The customer does not finish the payment with in the timeout.","Il cliente non completa il pagamento entro il tempo stabilito."
"Customweb_OPPCw::The date of birth is invalid.","The date of birth is invalid."
"Customweb_OPPCw::The date of birth is missing.","The date of birth is missing."
"Customweb_OPPCw::The date of birth is required.","È richiesta la data di nascita."
"Customweb_OPPCw::The date of birth needs to be set.","The date of birth needs to be set."
"Customweb_OPPCw::The debtor ID for processing SEPA mandates.","The debtor ID for processing SEPA mandates."
"Customweb_OPPCw::The department name is invalid.","The department name is invalid."
"Customweb_OPPCw::The department name is missing.","The department name is missing."
"Customweb_OPPCw::The email address is invalid.","The email address is invalid."
"Customweb_OPPCw::The email address is missing.","The email address is missing."
"Customweb_OPPCw::The establishment number is invalid.","The establishment number is invalid."
"Customweb_OPPCw::The establishment number is missing.","The establishment number is missing."
"Customweb_OPPCw::The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The gender is required.","Il sesso deve essere specificato."
"Customweb_OPPCw::The given BIC is invalid.","The given BIC is invalid."
"Customweb_OPPCw::The given CVC code has the wrong length.","Il dato codice CVC ha la lunghezza sbagliata."
"Customweb_OPPCw::The given IBAN is invalid.","The given IBAN is invalid."
"Customweb_OPPCw::The given address was invalid.","The given address was invalid."
"Customweb_OPPCw::The given card number has an invalid check sum.","Il numero della carta fornito ha un checksum non valido."
"Customweb_OPPCw::The given card number has an invalid length.","Il numero della carta fornito ha una lunghezza non valida."
"Customweb_OPPCw::The given hmac key is empty.","The given hmac key is empty."
"Customweb_OPPCw::The given identifier is empty.","The given identifier is empty."
"Customweb_OPPCw::The given password is empty.","The given password is empty."
"Customweb_OPPCw::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"Customweb_OPPCw::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"Customweb_OPPCw::The given site number is empty.","The given site number is empty."
"Customweb_OPPCw::The given transaction is not of type Customweb_OPPCw_Authorization_Transaction.","The given transaction is not of type Customweb_OPPCw_Authorization_Transaction."
"Customweb_OPPCw::The height of the iframe containing the input field.","The height of the iframe containing the input field."
"Customweb_OPPCw::The house number addition is invalid.","The house number addition is invalid."
"Customweb_OPPCw::The house number addition is missing.","The house number addition is missing."
"Customweb_OPPCw::The house number is invalid.","The house number is invalid."
"Customweb_OPPCw::The house number is missing.","The house number is missing."
"Customweb_OPPCw::The identifier as defined in the backoffice of Open Payment Platform.","The identifier as defined in the backoffice of Open Payment Platform."
"Customweb_OPPCw::The initials are invalid.","The initials are invalid."
"Customweb_OPPCw::The initials are missing.","The initials are missing."
"Customweb_OPPCw::The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel.","La completezza del messaggio di risposta e i parametri possono essere garantiti grazie a una firma digitale (generata con algoritmo SHA-1). Questo deve essere abilitato nell'area amministrazione PSP."
"Customweb_OPPCw::The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel. This is only needed by the hidden authorization.","The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel. This is only needed by the hidden authorization."
"Customweb_OPPCw::The invoice could not be captured and processed by","Il conto non può essere contabilizzato o trattato da Open Payment Platform."
"Customweb_OPPCw::The invoice could not be captured and processed. Reason:","La fattura non può essere registrata e processata. Causa:"
"Customweb_OPPCw::The invoice could not be found.","La fattura non é stato trovata."
"Customweb_OPPCw::The invoice has been changed.","La fattura é stata cambiata."
"Customweb_OPPCw::The invoice no longer exists.","La fattura non esiste più."
"Customweb_OPPCw::The language preference is invalid.","The language preference is invalid."
"Customweb_OPPCw::The language preference is missing.","The language preference is missing."
"Customweb_OPPCw::The layout does not contain the tag '!layout_tag'.","Il layout non contiene il tag '!layout_tag'."
"Customweb_OPPCw::The merchant id provided by Open Payment Platform","The merchant id provided by Open Payment Platform"
"Customweb_OPPCw::The merchant name, displayed to customer on SEPA mandates.","The merchant name, displayed to customer on SEPA mandates."
"Customweb_OPPCw::The minimum age for ordering with Payolution is 18 years.","The minimum age for ordering with Payolution is 18 years."
"Customweb_OPPCw::The name of the city is invalid.","The name of the city is invalid."
"Customweb_OPPCw::The name of the city is missing.","The name of the city is missing."
"Customweb_OPPCw::The name prefix is invalid.","The name prefix is invalid."
"Customweb_OPPCw::The name prefix is missing.","The name prefix is missing."
"Customweb_OPPCw::The next update execution date indicates when the next cron is run to update the transaction state.","La data del prossimo aggiornamento indica quando il prossimo cron é lanciato per aggiornare lo stato della transazione."
"Customweb_OPPCw::The order is not fully completed. Please contact the store owner.","Il pagamento non ha potuto andare a buon fine."
"Customweb_OPPCw::The order number is already excisting.","The order number is already excisting."
"Customweb_OPPCw::The order number is invalid.","The order number is invalid."
"Customweb_OPPCw::The order number is missing.","The order number is missing."
"Customweb_OPPCw::The orderline is invalid.","The orderline is invalid."
"Customweb_OPPCw::The orderline is missing.","The orderline is missing."
"Customweb_OPPCw::The parameters ""3DSIGNVAL"" was false.","The parameters ""3DSIGNVAL"" was false."
"Customweb_OPPCw::The parent transaction reference already exists.","The parent transaction reference already exists."
"Customweb_OPPCw::The parent transaction reference is invalid.","The parent transaction reference is invalid."
"Customweb_OPPCw::The parent transaction reference is missing.","The parent transaction reference is missing."
"Customweb_OPPCw::The password is provided by Open Payment Platform.","La password viene fornita da Open Payment Platform."
"Customweb_OPPCw::The payment could not be authorized, because it is not certain.","Il pagamento non potesse essere autorizzato, perché incerto."
"Customweb_OPPCw::The payment form will be displayed after submitting the order.","Il formulario di pagamento sarà mostrato dopo aver effettuato l'ordine."
"Customweb_OPPCw::The payment has been accepted.","Il pagamento é stato accettato."
"Customweb_OPPCw::The payment has been denied.","Il pagamento é stato rifiutato."
"Customweb_OPPCw::The payment method !paymentMethod does not support recurring payment.","Il metodo di pagamento non supporta il pagamento ricorrente."
"Customweb_OPPCw::The payment method !paymentMethodName does not support the currency '!currency'.","ll metodo di pagamento !paymentMethodName non supporta la moneta '!currency'."
"Customweb_OPPCw::The payment method !paymentMethodName is not available in your country ('!country').","Il metodo di pagamento !paymentMethodName non è disponibile nel tuo paese ('!country')."
"Customweb_OPPCw::The payment method '!paymentMethod' cannot be used for Moto payments.","The payment method '!paymentMethod' cannot be used for Moto payments."
"Customweb_OPPCw::The payment update has been made.","L'aggiornamento del pagamento é stato fatto."
"Customweb_OPPCw::The portal id provided by Open Payment Platform","The portal id provided by Open Payment Platform"
"Customweb_OPPCw::The postal code is invalid.","The postal code is invalid."
"Customweb_OPPCw::The postal code is missing.","The postal code is missing."
"Customweb_OPPCw::The product quantity is invalid.","The product quantity is invalid."
"Customweb_OPPCw::The product quantity is missing.","The product quantity is missing."
"Customweb_OPPCw::The provided signature does not match with the one calculated.","La firma fornita non corrisponde a quella calcolata."
"Customweb_OPPCw::The rang (PBX_RANG) as defined in the live backoffice of Open Payment Platform. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Open Payment Platform. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"Customweb_OPPCw::The refund announcement failed.","The refund announcement failed."
"Customweb_OPPCw::The refund failed due to an unkown reason.","The refund failed due to an unkown reason."
"Customweb_OPPCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto rimborsato con SKU '@sku' ha una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"Customweb_OPPCw::The refund item with SKU '@sku' is not present in the original order.","Il prodotto rimborsato con SKU '@sku' non é presente nell'ordine originale."
"Customweb_OPPCw::The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"Customweb_OPPCw::The response seems not to be valid.","The response seems not to be valid."
"Customweb_OPPCw::The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The secret key set in the Open Payment Platform backend, on .","The secret key set in the Open Payment Platform backend, on ."
"Customweb_OPPCw::The secret key set in the Open Payment Platform backend, on backendUrlLive____.","The secret key set in the Open Payment Platform backend, on backendUrlLive____."
"Customweb_OPPCw::The sender ID is provided by Open Payment Platform.","Il sender ID é fornito da Open Payment Platform."
"Customweb_OPPCw::The sender ID is provided by Open Payment Platform. This is only needed by the hidden authorization.","The sender ID is provided by Open Payment Platform. This is only needed by the hidden authorization."
"Customweb_OPPCw::The shopping cart has been altered!","Il carrello é stato modificato!"
"Customweb_OPPCw::The signature could not be verified.","The signature could not be verified."
"Customweb_OPPCw::The site id (PBX_RANG) as defined in the backoffice of Open Payment Platform.","The site id (PBX_RANG) as defined in the backoffice of Open Payment Platform."
"Customweb_OPPCw::The style of the input field, using inline CSS. This style will be appkied if 'Use Style' is set to 'Inline Style'.","The style of the input field, using inline CSS. This style will be appkied if 'Use Style' is set to 'Inline Style'."
"Customweb_OPPCw::The sub account id provided by Open Payment Platform","The sub account id provided by Open Payment Platform"
"Customweb_OPPCw::The surname is invalid.","The surname is invalid."
"Customweb_OPPCw::The surname is missing.","The surname is missing."
"Customweb_OPPCw::The telephone number is invalid.","The telephone number is invalid."
"Customweb_OPPCw::The telephone number is missing.","The telephone number is missing."
"Customweb_OPPCw::The text which will be displayed on the account- and credit card statements. This will be cut at 27 characters to make a new line. It is not possible to force a new line throught the us of e.g. spaces ("" "").","The text which will be displayed on the account- and credit card statements. This will be cut at 27 characters to make a new line. It is not possible to force a new line throught the us of e.g. spaces ("" "")."
"Customweb_OPPCw::The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The total order amount is invalid.","The total order amount is invalid."
"Customweb_OPPCw::The total order amount is missing.","The total order amount is missing."
"Customweb_OPPCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","L'importo totale rimborsato (!totalRefundedAmount) non può essere superiore all'importo acquisito (!capturedAmount)."
"Customweb_OPPCw::The transaction cannot be cancelled online.","Impossibile cancellare la transazione online."
"Customweb_OPPCw::The transaction cannot be captured online.","Impossibile registrare la transazione online."
"Customweb_OPPCw::The transaction cannot be refunded online.","Impossibile rimborsare la transazione online."
"Customweb_OPPCw::The transaction failed due to an unknown reason.","La transazione non riuscita con un errore sconosciuto"
"Customweb_OPPCw::The transaction failed with error code !code.","The transaction failed with error code !code."
