"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transacción puede ser incierto, cuando no se garantiza el pago. Por ejemplo en el caso de la tarjeta de crédito no participa en el procedimiento de 3D​​."
"Customweb_OPPCw::Abort","Abort"
"Customweb_OPPCw::About","About"
"Customweb_OPPCw::Account Holder","Account Holder"
"Customweb_OPPCw::Account Holder Name","Titular de la cuenta Nombre"
"Customweb_OPPCw::Account Holder: !holder","Titular de cuenta: !holder"
"Customweb_OPPCw::Account Number","Account Number"
"Customweb_OPPCw::Account Number: !number","Número de cuenta: !number"
"Customweb_OPPCw::Account owner name.","Nombre del titular"
"Customweb_OPPCw::Account statement","Account statement"
"Customweb_OPPCw::Account statement line 1","Account statement line 1"
"Customweb_OPPCw::Account statement line 2","Account statement line 2"
"Customweb_OPPCw::Account statement line 3","Account statement line 3"
"Customweb_OPPCw::Action","Acción"
"Customweb_OPPCw::Actions","Actions"
"Customweb_OPPCw::Activate","Activate"
"Customweb_OPPCw::Activate address checking","Activate address checking"
"Customweb_OPPCw::Activate scoring","Activate scoring"
"Customweb_OPPCw::Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate.","Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate."
"Customweb_OPPCw::Activate the payment method that you want to process transactions with.","Activate the payment method that you want to process transactions with."
"Customweb_OPPCw::Active","Activo"
"Customweb_OPPCw::Active (all criteria + boniscore)","Active (all criteria + boniscore)"
"Customweb_OPPCw::Active (all criteria)","Active (all criteria)"
"Customweb_OPPCw::Active (hard criteria)","Active (hard criteria)"
"Customweb_OPPCw::Active - Fail when corrections are proposed.","Active - Fail when corrections are proposed."
"Customweb_OPPCw::Active - Ignore proposed corrections.","Active - Ignore proposed corrections."
"Customweb_OPPCw::Active - Show proposed corrections in backend.","Active - Show proposed corrections in backend."
"Customweb_OPPCw::Additional Information","Additional Information"
"Customweb_OPPCw::Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing).","Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing)."
"Customweb_OPPCw::Address Addition","Address Addition"
"Customweb_OPPCw::Address check executed","Address check executed"
"Customweb_OPPCw::Address check maximum","Address check maximum"
"Customweb_OPPCw::Address check minimum","Address check minimum"
"Customweb_OPPCw::Address check type","Address check type"
"Customweb_OPPCw::Address check type invalid.","Address check type invalid."
"Customweb_OPPCw::Addresses must be equal.","Addresses must be equal."
"Customweb_OPPCw::Adjust Qty","Ajuste de cantidad"
"Customweb_OPPCw::Adjustment Discount","Adjustment Discount"
"Customweb_OPPCw::Adjustment Fee","Adjustment Fee"
"Customweb_OPPCw::After payment selection","Después de elegir la forma de pago"
"Customweb_OPPCw::After selecting payment method","After selecting payment method"
"Customweb_OPPCw::Agreement","Agreement"
"Customweb_OPPCw::Ajax authorization not supported.","Autorización Ajax no es compatibl"
"Customweb_OPPCw::Alias","Alias"
"Customweb_OPPCw::Alias For Display","Alias ​​para la exhibición"
"Customweb_OPPCw::Alias Manager","Alias Manager"
"Customweb_OPPCw::Alias manager","Alias manager"
"Customweb_OPPCw::All Customers","All Customers"
"Customweb_OPPCw::Allow scoring","Allow scoring"
"Customweb_OPPCw::Allowed Currencies","Allowed Currencies"
"Customweb_OPPCw::Allowed currencies for this payment method","Moneda permitida para esta forma de pago"
"Customweb_OPPCw::Already registered?","Already registered?"
"Customweb_OPPCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_OPPCw::American Express","American Express"
"Customweb_OPPCw::Amount","Montante"
"Customweb_OPPCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_OPPCw::An unexpected error occurred while cancelling the transaction.","An unexpected error occurred while cancelling the transaction."
"Customweb_OPPCw::An unexpected error occurred while capturing the transaction.","An unexpected error occurred while capturing the transaction."
"Customweb_OPPCw::An unexpected error occurred while refunding the transaction.","An unexpected error occurred while refunding the transaction."
"Customweb_OPPCw::An unknown error occured while identifying the cause for failure","An unknown error occured while identifying the cause for failure"
"Customweb_OPPCw::Approved Payment Status","Approved Payment Status"
"Customweb_OPPCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_OPPCw::Austria","Austria"
"Customweb_OPPCw::Author","Author"
"Customweb_OPPCw::Authorization Amount","Importe de autorisación"
"Customweb_OPPCw::Authorization Failed","Autorisación fallada"
"Customweb_OPPCw::Authorization Method","Método de autorización"
"Customweb_OPPCw::Authorization is uncertain.","Autorización está incierta"
"Customweb_OPPCw::Authorization method 'Payment Page' does not support alias manager.","Authorization method 'Payment Page' does not support alias manager."
"Customweb_OPPCw::Authorized Status","Estado de Autorización"
"Customweb_OPPCw::Await Notification","Await Notification"
"Customweb_OPPCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_OPPCw::BIC","BIC"
"Customweb_OPPCw::BIC: !bic","BIC: !bic"
"Customweb_OPPCw::Bad signature format.","Bad signature format."
"Customweb_OPPCw::Bancontact","Bancontact"
"Customweb_OPPCw::Bank Code: !bank","Código del banco: !bank"
"Customweb_OPPCw::Bank Country: !country","País: !country"
"Customweb_OPPCw::Bank Location","Banco Ubicación"
"Customweb_OPPCw::Bank Name","Nombre del banco"
"Customweb_OPPCw::Bank account number","Número de cuenta bancaria"
"Customweb_OPPCw::Bank code number","Código bancario"
"Customweb_OPPCw::Bank data","Bank data"
"Customweb_OPPCw::Basic","Basic"
"Customweb_OPPCw::Before payment selection","Antes de elegir la forma de pago"
"Customweb_OPPCw::Before showing payment method","Before showing payment method"
"Customweb_OPPCw::Belgium","Belgium"
"Customweb_OPPCw::Beside the default channel id a set of channel ids depending on the order total amount can be defined. Each line must contain a lower amount, an upper amount and the applicable channel id. The format is as follow 'lower amount;upper amount;channel id'. The following example shows a conrete on: '10.00;200.00;23413113213131231353' The upper boundaries are not included. If you leave this field empty or if a amount is outside any range the default channel id is applied. If multiple conditions match, the last one is taken.","Al lado de la Identificación del canal por defecto se puede definir un conjunto de identificadores de canal en función de la cantidad total de la orden. Cada línea debe contener una cantidad inferior, una cantidad superior y el identificador de canal aplicable. El formato es como sigue 'cantidad inferior;cantidad superior;identificador de canal', como se muestra en el siguiente ejemplo: '10.00;200,00;23413113213131231353 'Los límites superiores no están incluidos. Si deja este campo vacío o si una cantidad es fuera de cualquier rango que se aplique el identificador de canal predeterminado. Si hay varias condiciones coinciden, se toma el último."
"Customweb_OPPCw::BillSAFE","BillSAFE"
"Customweb_OPPCw::BillSAFE (supports Payment Page and Hidden Authorization)","BillSAFE (supports Payment Page and Hidden Authorization)"
"Customweb_OPPCw::Billing Address","Billing Address"
"Customweb_OPPCw::Billing Information","Billing Information"
"Customweb_OPPCw::Billing address","Dirección de facturación"
"Customweb_OPPCw::Boni score result","Boni score result"
"Customweb_OPPCw::Brand","Brand"
"Customweb_OPPCw::Brand Code","Brand Code"
"Customweb_OPPCw::Brand Name","Brand Name"
"Customweb_OPPCw::Buy","Buy"
"Customweb_OPPCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_OPPCw::COPYandPAY Style","COPYandPAY Style"
"Customweb_OPPCw::CVC Code","CVC código"
"Customweb_OPPCw::CVC:","CVC:"
"Customweb_OPPCw::Cache Timeout","Cache Timeout"
"Customweb_OPPCw::Cancel","Cancel"
"Customweb_OPPCw::Cancel ID","Cancel ID"
"Customweb_OPPCw::Cancel pending orders when out of stock","Cancelar órdenes pendientes si el artículo ya no está en stock"
"Customweb_OPPCw::Cancel status","Cancelar Estado"
"Customweb_OPPCw::Canceled OPPCw","Canceled OPPCw"
"Customweb_OPPCw::Canceling of this payment not possible!","La cancelación de este pago no es posible"
"Customweb_OPPCw::Cancellation is not supported by this transaction.","Cancellation is not supported by this transaction."
"Customweb_OPPCw::Cancelled Status","Estado de cancelación"
"Customweb_OPPCw::Cannot redirect from a deferred capture","Cannot redirect from a deferred capture"
"Customweb_OPPCw::Cannot update item quantity.","No se puede actualizar la cantidad de artículo."
"Customweb_OPPCw::Capture Amount","Capture Amount"
"Customweb_OPPCw::Capture ID","Capture ID"
"Customweb_OPPCw::Capture amount","Cantidad de captura"
"Customweb_OPPCw::Capture information","Informaciones de la contabilización"
"Customweb_OPPCw::Capture status","El estado de captura"
"Customweb_OPPCw::Capture: Don't Close","Capture: Don't Close"
"Customweb_OPPCw::Captured Amount","Importe reembolsado"
"Customweb_OPPCw::Captured Status","Estado de Captura"
"Customweb_OPPCw::Captures","Captures"
"Customweb_OPPCw::Captures & Refunds","Captures & Refunds"
"Customweb_OPPCw::Capturing","Contabilizar"
"Customweb_OPPCw::Card","Card"
"Customweb_OPPCw::Card Brand","Card Brand"
"Customweb_OPPCw::Card CVC/2","Card CVC/2"
"Customweb_OPPCw::Card Expiration","Fecha de vencimiento de la tarjeta"
"Customweb_OPPCw::Card Expiry","Fecha de vencimiento"
"Customweb_OPPCw::Card Holder Name","Titular de tarjeta"
"Customweb_OPPCw::Card Number","Número de tarjeta"
"Customweb_OPPCw::Card Type","Tipo de tarjeta"
"Customweb_OPPCw::Card to use","Card to use"
"Customweb_OPPCw::Cardnumber:","Cardnumber:"
"Customweb_OPPCw::Cardtype:","Cardtype:"
"Customweb_OPPCw::Carrier Title","Carrier Title"
"Customweb_OPPCw::Carte Bleue","Carte Bleue"
"Customweb_OPPCw::Channel Conditions","Condiciones de canal"
"Customweb_OPPCw::Channel ID","Channel ID"
"Customweb_OPPCw::Channel ID (MoTo)","Channel ID (MoTo)"
"Customweb_OPPCw::Channel ID (No 3D secure)","Channel ID (Sin 3D secure)"
"Customweb_OPPCw::Check out faster","Check out faster"
"Customweb_OPPCw::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_OPPCw::Checkout","Checkout"
"Customweb_OPPCw::Checkout as Guest","Checkout as Guest"
"Customweb_OPPCw::Checkout as a Guest or Register","Checkout as a Guest or Register"
"Customweb_OPPCw::Checkout as a new customer","Checkout as a new customer"
"Customweb_OPPCw::Checkout using your account","Checkout using your account"
"Customweb_OPPCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Selecciona 'Creación después del pedido' si quiere que se crea una factura con el pedido. El estado de la factura basa en la el estado contabilización."
"Customweb_OPPCw::City","City"
"Customweb_OPPCw::Classes","Classes"
"Customweb_OPPCw::Color","Color"
"Customweb_OPPCw::Company Commercial Number","Compañía Número Comercial"
"Customweb_OPPCw::Company VAT Number","Company VAT Number"
"Customweb_OPPCw::Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>.","Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>."
"Customweb_OPPCw::Confirm Mandate","Confirm Mandate"
"Customweb_OPPCw::Confirm Password","Confirm Password"
"Customweb_OPPCw::Connector Test Mode","Connector Modo de Prueba"
"Customweb_OPPCw::Connector Transaction ID","Connector Transaction ID"
"Customweb_OPPCw::Consumer score type invalid.","Consumer score type invalid."
"Customweb_OPPCw::Continue","Continuar"
"Customweb_OPPCw::Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter.","Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter."
"Customweb_OPPCw::Copy the shown encryption key into the configuration.","Copy the shown encryption key into the configuration."
"Customweb_OPPCw::Could not add proposed address changes.","Could not add proposed address changes."
"Customweb_OPPCw::Could not convert object of type '!type' to string.","No se pudo convertir el objeto de tipo '!type' a string."
"Customweb_OPPCw::Could not execute scheduled update.","Could not execute scheduled update."
"Customweb_OPPCw::Could not find a brand for the given card number.","No se pudo encontrar una marca para el número de la tarjeta dada."
"Customweb_OPPCw::Could not find an adapter for the authoriztion method !methodName.","No se pudo encontrar un adaptador para el método de autorización !methodName."
"Customweb_OPPCw::Could not find pressed button.","No se pudo encontrar el botón presionado."
"Customweb_OPPCw::Could not find template file at default location '!location'.","No se pudo encontrar el archivo de plantilla en la ubicación predeterminada '!location'."
"Customweb_OPPCw::Could not find the payment method !paymentMethodName.","No se pudo encontrar la forma de pago !paymentMethodName."
"Customweb_OPPCw::Could not load layout from URL !url. Reason: !reason","No se pudo cargar el diseño de URL !url. Motivo: !reason"
"Customweb_OPPCw::Country","Country"
"Customweb_OPPCw::Country Restriction","Country Restriction"
"Customweb_OPPCw::Create Account","Create Account"
"Customweb_OPPCw::Create New Order - Payment","Create New Order - Payment"
"Customweb_OPPCw::Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Customweb_OPPCw::Creating an account has many benefits:","Creating an account has many benefits:"
"Customweb_OPPCw::Creation Date","Creation Date"
"Customweb_OPPCw::Credit Card Brands","Credit Card Brands"
"Customweb_OPPCw::Credit Card Number","Credit Card Number"
"Customweb_OPPCw::Credit Memo History","Credit Memo History"
"Customweb_OPPCw::Credit Memo Totals","Credit Memo Totals"
"Customweb_OPPCw::Credit memo's total must be positive.","Total del nota de crédito debe ser positivo."
"Customweb_OPPCw::Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank.","Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank."
"Customweb_OPPCw::Creditworthiness was denied.","Creditworthiness was denied."
"Customweb_OPPCw::Currency","Moneda"
"Customweb_OPPCw::Current Configuration Scope:","Alcance de configuración actual:"
"Customweb_OPPCw::Custom CSS Url","Custom CSS Url"
"Customweb_OPPCw::Custom Cancel Button","Custom Cancel Button"
"Customweb_OPPCw::Custom JS Url","Custom JS URL"
"Customweb_OPPCw::Custom Parameters","Custom Parameters"
"Customweb_OPPCw::Custom Pay Button","Custom Pay Button"
"Customweb_OPPCw::Customer Account","Customer Account"
"Customweb_OPPCw::Customer Alias Management","Customer Alias Management"
"Customweb_OPPCw::Customer Date of Birth","Customer Date of Birth"
"Customweb_OPPCw::Customer Gender","Customer Gender"
"Customweb_OPPCw::Customer Phone Number","Customer Phone Number"
"Customweb_OPPCw::Customer successfully returned from OPPCw","El cliente ha regresado con éxito de OPPCw"
"Customweb_OPPCw::Customer successfully returned from Open Payment Platform","Cliente regresó con éxito de Open Payment Platform"
"Customweb_OPPCw::Customer sucessfully returned from the OPPCw payment page.","Customer sucessfully returned from the OPPCw payment page."
"Customweb_OPPCw::Customers","Customers"
"Customweb_OPPCw::Customweb","Customweb"
"Customweb_OPPCw::Czech Republic","Czech Republic"
"Customweb_OPPCw::Dankort","Dankort"
"Customweb_OPPCw::Date","Fecha"
"Customweb_OPPCw::Date of Birth","Fecha de nacimiento"
"Customweb_OPPCw::Date of birth must be provided.","Date of birth must be provided."
"Customweb_OPPCw::Day","Día"
"Customweb_OPPCw::Deactivate","Deactivate"
"Customweb_OPPCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest."
"Customweb_OPPCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_OPPCw::Debtor ID","Debtor ID"
"Customweb_OPPCw::Decline Message","Decline Message"
"Customweb_OPPCw::Declined by test data.","Declined by test data."
"Customweb_OPPCw::Default Config","Configuración estándar"
"Customweb_OPPCw::Deferred","Retrasado"
"Customweb_OPPCw::Deferred (authorization)","Deferred (authorization)"
"Customweb_OPPCw::Deferred capturing","Contabilización retrasada"
"Customweb_OPPCw::Deferred settlement","Creación retrasada"
"Customweb_OPPCw::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_OPPCw::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_OPPCw::Define the height of the iframe element (only has an effect if iframe authorization is selected).","Definir la altura del elemento iFrame (sólo tiene efecto si se selecciona autorización iframe)."
"Customweb_OPPCw::Define the payment methods, the customer can choose from. List them separated by a space.","Define the payment methods, the customer can choose from. List them separated by a space."
"Customweb_OPPCw::Define the style to be used for the COPYandPAY payment form.","Define the style to be used for the COPYandPAY payment form."
"Customweb_OPPCw::Delayed","Retrasado"
"Customweb_OPPCw::Delete","Borrar"
"Customweb_OPPCw::Delivery address","Dirección de envío"
"Customweb_OPPCw::Denied Payment Status","Denied Payment Status"
"Customweb_OPPCw::Deny scoring","Deny scoring"
"Customweb_OPPCw::Deptor ID","Deptor ID"
"Customweb_OPPCw::Description","Descripción"
"Customweb_OPPCw::Diners Club","Diners Club"
"Customweb_OPPCw::Direct (Payment Page / Hidden Authorization)","Direct (Payment Page / Hidden Authorization)"
"Customweb_OPPCw::Direct Debits","Direct Debits"
"Customweb_OPPCw::Direct E-Banking","Direct E-Banking"
"Customweb_OPPCw::Direct capture after order","Contabilización immediatamente después del pedido"
"Customweb_OPPCw::Directly after order","Directamente después de la orden"
"Customweb_OPPCw::Directly after order (sale)","Directly after order (sale)"
"Customweb_OPPCw::Disabled","Desactivado"
"Customweb_OPPCw::Discount","Immediatamente después del pedido"
"Customweb_OPPCw::Discount Amount","Cantidad de Descuento"
"Customweb_OPPCw::Discover","Discover"
"Customweb_OPPCw::Display","Display"
"Customweb_OPPCw::Display Conditions","Display Conditions"
"Customweb_OPPCw::Display Customer ID","Display Customer ID"
"Customweb_OPPCw::Do not display","Do not display"
"Customweb_OPPCw::Do not modify styling","Do not modify styling"
"Customweb_OPPCw::Do not send basket","Do not send basket"
"Customweb_OPPCw::Don't change order status","No cambie estado del pedido"
"Customweb_OPPCw::Due Date","Due Date"
"Customweb_OPPCw::During authorization","Durante la autorización"
"Customweb_OPPCw::During the authorization","During the authorization"
"Customweb_OPPCw::Dynamic styling","Dynamic styling"
"Customweb_OPPCw::Edit","Editar"
"Customweb_OPPCw::Edit Invoice %s","Edit Invoice %s"
"Customweb_OPPCw::Email Address","Email Address"
"Customweb_OPPCw::Empty version number field name","Empty version number field name"
"Customweb_OPPCw::Enable or disable logging.","Enable or disable logging."
"Customweb_OPPCw::Enable the payment method","Activar forma de pago"
"Customweb_OPPCw::Enabled","Activado"
"Customweb_OPPCw::Enter the Security Sender, UserID and Password that is provided to you by Open Payment Platform.","Enter the Security Sender, UserID and Password that is provided to you by Open Payment Platform."
"Customweb_OPPCw::Enter the date on which your card expires.","Introduzca la fecha en la que expira su tarjeta."
"Customweb_OPPCw::Entity ID","Entity ID"
"Customweb_OPPCw::Entity ID (MoTo)","Entity ID (MoTo)"
"Customweb_OPPCw::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_OPPCw::Excl. Tax","Excl. impuesto"
"Customweb_OPPCw::Expiry Date:","Expiry Date:"
"Customweb_OPPCw::Expiry Month","Expiry Month"
"Customweb_OPPCw::Expiry Year","Expiry Year"
"Customweb_OPPCw::External","External"
"Customweb_OPPCw::External Checkout","External Checkout"
"Customweb_OPPCw::External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Customweb_OPPCw::Failed","Fallado"
"Customweb_OPPCw::Failed payment authorization.","Error de autorización de pago."
"Customweb_OPPCw::FemaIframe Heightle","FemaIframe Heightle"
"Customweb_OPPCw::Female","Femenino"
"Customweb_OPPCw::Figure !number:","Figure !number:"
"Customweb_OPPCw::First name","First name"
"Customweb_OPPCw::For recurring and moto transactions to work, you have to specify a separate channel.","Si desea utilizar transacciones recurrentes y moto, debe definir un canal separado."
"Customweb_OPPCw::Forgot Your Password?","Forgot Your Password?"
"Customweb_OPPCw::Forgot your password?","Forgot your password?"
"Customweb_OPPCw::Frontend API does not currently support transactions from country @country.","Frontend API does not currently support transactions from country @country."
"Customweb_OPPCw::Frontend Version (IFrame)","Frontend Version (IFrame)"
"Customweb_OPPCw::Frontend Version (Payment Page)","Frontend Version (Payment Page)"
"Customweb_OPPCw::Gender","Sexo"
"Customweb_OPPCw::Gender is invalid.","Gender is invalid."
"Customweb_OPPCw::Gender is missing.","Gender is missing."
"Customweb_OPPCw::Germany","Germany"
"Customweb_OPPCw::Get Update","Get Update"
"Customweb_OPPCw::Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat"
"Customweb_OPPCw::Green","Green"
"Customweb_OPPCw::Hash calculating method","Hash calculating method"
"Customweb_OPPCw::Here you can activate Payone address checking.","Here you can activate Payone address checking."
"Customweb_OPPCw::Here you can activate a scoring check on transactions. Setting this option to inactive means that the values selected in allow scoring, uncertain scoring and deny scoring are ignored.","Here you can activate a scoring check on transactions. Setting this option to inactive means that the values selected in allow scoring, uncertain scoring and deny scoring are ignored."
"Customweb_OPPCw::Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page.","Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Open Payment Platform . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Este prefijo permite cambiar el número de pedido, que se envía a Open Payment Platform. El prefijo debe incluir el tag {id}, que se sustituye entonces por el número de pedido (por ejemplo nombre_ {id})."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_OPPCw::Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution.","Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution."
"Customweb_OPPCw::Here you can set the maximum cart amount for which addresses should be checked.","Here you can set the maximum cart amount for which addresses should be checked."
"Customweb_OPPCw::Here you can set the maximum cart amount for which scoring should be checked.","Here you can set the maximum cart amount for which scoring should be checked."
"Customweb_OPPCw::Here you can set the maximum value for which addresses should be checked","Here you can set the maximum value for which addresses should be checked"
"Customweb_OPPCw::Here you can set the maximum value for which scoring should be checked","Here you can set the maximum value for which scoring should be checked"
"Customweb_OPPCw::Here you can set the minimum cart amount for which addresses should be checked.","Here you can set the minimum cart amount for which addresses should be checked."
"Customweb_OPPCw::Here you can set the minimum cart amount for which scoring should be checked.","Here you can set the minimum cart amount for which scoring should be checked."
"Customweb_OPPCw::Here you can set the minimum value for which addresses should be checked","Here you can set the minimum value for which addresses should be checked"
"Customweb_OPPCw::Here you can set the minimum value for which scoring should be checked","Here you can set the minimum value for which scoring should be checked"
