"Customweb_OPPCw::* Required Fields","* Erforderliche Felder"
"Customweb_OPPCw::CVC:","CVC:"
"Customweb_OPPCw::Cache Timeout","Cache Timeout"
"Customweb_OPPCw::Cancel","Stornieren"
"Customweb_OPPCw::Cancel ID","Stornierungs ID"
"Customweb_OPPCw::Cancel pending orders when out of stock","Ausstehende Bestellungen stornieren, wenn der Artikel nicht mehr an Lager ist."
"Customweb_OPPCw::Cancel status","Stornierungsstatus"
"Customweb_OPPCw::Canceled OPPCw","Abbrechen OPPCw"
"Customweb_OPPCw::Canceling of this payment not possible!","Stornieren dieser Zahlung ist nicht möglich!"
"Customweb_OPPCw::Cancellation is not supported by this transaction.","Cancellation is not supported by this transaction."
"Customweb_OPPCw::Cancelled Status","Status für abgebrochene Bestellungen"
"Customweb_OPPCw::Cannot redirect from a deferred capture","Weiterleitung von der verzögerten Verbuchung konnte nicht stattfinden."
"Customweb_OPPCw::Cannot update item quantity.","Die Artikelanzahl kann nicht aktualisiert werden."
"Customweb_OPPCw::Capture (Don't Close)","Verbuchung (Nicht schliessen)"
"Customweb_OPPCw::Capture Amount","Buchungsbetrag"
"Customweb_OPPCw::Capture ID","Buchungs ID"
"Customweb_OPPCw::Capture amount","Verbuchungsbetrag"
"Customweb_OPPCw::Capture information","Buchungs Informationen"
"Customweb_OPPCw::Capture status","Verbuchungsstatus"
"Customweb_OPPCw::Captured Amount","Verbuchter Betrag"
"Customweb_OPPCw::Captured Status","Verbuchungsstatus"
"Customweb_OPPCw::Captures","Verbuchungen"
"Customweb_OPPCw::Captures & Refunds","Verbuchungen & Gutschriften"
"Customweb_OPPCw::Capturing","Verbuchung"
"Customweb_OPPCw::Card","Card"
"Customweb_OPPCw::Card Brand","Kartenanbieter"
"Customweb_OPPCw::Card CVC/2","Karte CVC/2"
"Customweb_OPPCw::Card Expiration","Kartenablaufdatum"
"Customweb_OPPCw::Card Expiry","Card Expiry"
"Customweb_OPPCw::Card Holder Name","Karteninhaber"
"Customweb_OPPCw::Card Number","Kartennummer"
"Customweb_OPPCw::Card Type","Card Type"
"Customweb_OPPCw::Card to use","Karte, die verwendet werden soll"
"Customweb_OPPCw::Cardnumber:","Kartennummer"
"Customweb_OPPCw::Cardtype:","Kartentyp:"
"Customweb_OPPCw::Carrier Title","Carrier Title"
"Customweb_OPPCw::Carte Bleue","Carte Bleue"
"Customweb_OPPCw::Channel Conditions","Channel Conditions"
"Customweb_OPPCw::Channel ID","Channel ID"
"Customweb_OPPCw::Channel ID (MoTo)","Channel ID (MoTo)"
"Customweb_OPPCw::Channel ID (No 3D secure)","Channel ID (No 3D secure)"
"Customweb_OPPCw::Check out faster","Schnelleres Bestellen"
"Customweb_OPPCw::Check to activate the external checkout.","Markieren Sie dieses Feld um den externen Checkout zu aktivieren."
"Customweb_OPPCw::Checkout","Checkout"
"Customweb_OPPCw::Checkout as Guest","Als Gast zur Kasse gehen"
"Customweb_OPPCw::Checkout as a Guest or Register","Als Gast zur Kasse gehen oder ein Kundenkonto erstellen"
"Customweb_OPPCw::Checkout as a new customer","Als Neukunde bestellen"
"Customweb_OPPCw::Checkout using your account","Über Ihr Benutzerkonto bestellen"
"Customweb_OPPCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status.","Wählen Sie 'Erstellung nach Bestellung' falls Sie möchten, dass eine Rechung zu Ihrer Bestellung generiert wird. Der status der Rechnung wird anhand Ihres Buchungs Status gesetzt."
"Customweb_OPPCw::City","Stadt"
"Customweb_OPPCw::Classes","Klassen"
"Customweb_OPPCw::Color","Farbe"
"Customweb_OPPCw::Company Commercial Number","Handelsregisternummer der Firma"
"Customweb_OPPCw::Company VAT Number","Company VAT Number"
"Customweb_OPPCw::Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>.","Konfigurieren Sie die Zahlungsportale unter  Configuration > Payment Portals im Open Payment Platform Backend entsprechend der Anweisungen im Manual: <a href='!url'>!url</a>."
"Customweb_OPPCw::Confirm Mandate","Mandat bestätigen"
"Customweb_OPPCw::Confirm Password","Passwort bestätigen"
"Customweb_OPPCw::Connector Test Mode","Connector Test Mode"
"Customweb_OPPCw::Connector Transaction ID","Connector Transaction ID"
"Customweb_OPPCw::Consumer score type invalid.","Art der Kundenbewertung ist ungültig."
"Customweb_OPPCw::Continue","Fortfahren"
"Customweb_OPPCw::Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter.","Kopieren Sie die Portal ID, den Secret Key, die Merchant ID sowie die Sub Account ID aus dem Backoffice ins Hauptmodul. Sie finden diese Informationen unter Configuration > Payment Portals im Tab API Parameter."
"Customweb_OPPCw::Copy the shown encryption key into the configuration.","Copy the shown encryption key into the configuration."
"Customweb_OPPCw::Could not add proposed address changes.","Die vorgechlagenen Adressänderungen konnten nicht umgesetzt werden."
"Customweb_OPPCw::Could not convert object of type '!type' to string.","Konvertierung eines Objektes vom Typ '!type' ist fehlgeschlagen."
"Customweb_OPPCw::Could not execute scheduled update.","Could not execute scheduled update."
"Customweb_OPPCw::Could not find a brand for the given card number.","Es konnte keinen Brand für die gegebene Karte gefunden werden."
"Customweb_OPPCw::Could not find an adapter for the authoriztion method !methodName.","Could not find an adapter for the authoriztion method !methodName."
"Customweb_OPPCw::Could not find pressed button.","Der Button konnte nicht gefunden werden"
"Customweb_OPPCw::Could not find template file at default location '!location'.","Konnte kein Template auf dem Standard Pfad unter '!location' finden."
"Customweb_OPPCw::Could not find the payment method !paymentMethodName.","Zahlungsmethode '!paymentMethodName' konnte nicht gefunden werden."
"Customweb_OPPCw::Could not load layout from URL !url. Reason: !reason","Das Layout konnte nicht von !url geladen werden. Grund: !reason"
"Customweb_OPPCw::Country","Land"
"Customweb_OPPCw::Country Restriction","Country Restriction"
"Customweb_OPPCw::Create Account","Benutzerkonto erstellen"
"Customweb_OPPCw::Create New Order - Payment","Neue Bestellung erstellen - Zahlung"
"Customweb_OPPCw::Create a recurring payment, with an existing alias is not supported","Mit einem existierenden Alias ist die Erstellung einer wiederkehrenden Zahlung nicht möglich."
"Customweb_OPPCw::Creating an account has many benefits:","Die Erstellung eines Benutzerkontos bringt viele Vorteile mit sich:"
"Customweb_OPPCw::Creation Date","Erstellungsdatum"
"Customweb_OPPCw::Credit Card Brands","Kreditkartenbrand"
"Customweb_OPPCw::Credit Card Number","Kreditkartennummer"
"Customweb_OPPCw::Credit Memo History","Gutschrifthistorie"
"Customweb_OPPCw::Credit Memo Totals","Gutschrift Total"
"Customweb_OPPCw::Credit memo's total must be positive.","Der Gesamtbetrag der Gutschrift muss positiv sein."
"Customweb_OPPCw::Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank.","Gläubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> Kunde: !CUSTOMER <br/> <br /> Ich ermächtige (A) !MERCHANT_NAME, Zahlungen von meinem Konto mittels Lastschrift einzuziehen. Zugleich (B) weise ich mein Kreditinstitut an, die von !MERCHANT_NAME auf mein Konto gezogenen Lastschriften einzulösen. <br />Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen. Meine Rechte zu dem obigen Mandat sind in einem Merkblatt enthalten, das ich von meinem Kreditinstitut erhalten kann."
"Customweb_OPPCw::Creditworthiness was denied.","Kreditwürdigkeit wurde abgelehnt."
"Customweb_OPPCw::Currency","Währung"
"Customweb_OPPCw::Current Configuration Scope:","Scope der Konfiguration:"
"Customweb_OPPCw::Custom CSS Url","Custom CSS Url"
"Customweb_OPPCw::Custom Cancel Button","Custom Cancel Button"
"Customweb_OPPCw::Custom JS Url","Custom JS Url"
"Customweb_OPPCw::Custom Parameters","Custom Parameters"
"Customweb_OPPCw::Custom Pay Button","Custom Pay Button"
"Customweb_OPPCw::Customer Account","Kundenkonto"
"Customweb_OPPCw::Customer Alias Management","Kunden Alias Management"
"Customweb_OPPCw::Customer Date of Birth","Customer Date of Birth"
"Customweb_OPPCw::Customer Gender","Customer Gender"
"Customweb_OPPCw::Customer Phone Number","Customer Phone Number"
"Customweb_OPPCw::Customer successfully returned from OPPCw","Kunde ist erfolgreich von OPPCw zurückgekehrt"
"Customweb_OPPCw::Customer successfully returned from Open Payment Platform","Der Kunde ist erfolgreich von der OPPCw Payment Page zurückgekehrt."
"Customweb_OPPCw::Customer sucessfully returned from the OPPCw payment page.","Der Kunde ist erfolgreich von der OPPCw Payment Page zurückgekehrt."
"Customweb_OPPCw::Customers","Kunden"
"Customweb_OPPCw::Customweb","Customweb"
"Customweb_OPPCw::Czech Republic","Czech Republic"
"Customweb_OPPCw::Dankort","Dankort"
"Customweb_OPPCw::Date","Datum"
"Customweb_OPPCw::Date of Birth","Geburtsdatum"
"Customweb_OPPCw::Date of birth must be provided.","Das Geburtsdatum muss angegeben werden."
"Customweb_OPPCw::Day","Tag"
"Customweb_OPPCw::Deactivate","Deaktivieren"
"Customweb_OPPCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Sehr geehrter Kunde wir haben Ihre Rechnungs- und Lieferinformationen erhalten. Um Ihre Bestellung abschliessen zu können, bitten wir Sie ein Account zu erstellen oder sich als Gast anzumelden."
"Customweb_OPPCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Sehr geehrter Kunde, es scheint, dass Ihre Zahlung erfolgreich war, aber wir warten immer noch auf eine Bestätigung. Sie können auf dieser Seite warten, und wir leiten Sie weiter nachdem wir die Bestätigung erhalten haben. Oder Sie können dieses Fenster schliessen und wir senden Ihnen eine Auftragsbestätigung später per Email."
"Customweb_OPPCw::Debtor ID","Debitor ID"
"Customweb_OPPCw::Decline Message","Ablehnungsnachricht"
"Customweb_OPPCw::Declined by test data.","Declined by test data."
"Customweb_OPPCw::Default Config","Standard Konfiguration"
"Customweb_OPPCw::Deferred","Verzögert"
"Customweb_OPPCw::Deferred (authorization)","Verzögert (Autorisierung)"
"Customweb_OPPCw::Deferred capturing","Verzögerte Buchung"
"Customweb_OPPCw::Deferred settlement","Verzögerte Erstellung"
"Customweb_OPPCw::Define a maximal order total for this checkout to be available.","Definieren Sie einen Maximalbestellwert für den Checkout."
"Customweb_OPPCw::Define a minimal order total for this checkout to be available.","Definieren Sie einen Mindestbestellwert, der erreicht werden muss um den Checkout verfügbar zu machen."
"Customweb_OPPCw::Define the height of the iframe element (only has an effect if iframe authorization is selected).","Define the height of the iframe element (only has an effect if iframe authorization is selected)."
"Customweb_OPPCw::Define the payment methods, the customer can choose from. List them separated by a space.","Define the payment methods, the customer can choose from. List them separated by a space."
"Customweb_OPPCw::Define the style to be used for the COPYandPAY payment form.","Define the style to be used for the COPYandPAY payment form."
"Customweb_OPPCw::Delayed","Verzögert"
"Customweb_OPPCw::Delete","Löschen"
"Customweb_OPPCw::Delivery address","Delivery address"
"Customweb_OPPCw::Denied Payment Status","Denied Payment Status"
"Customweb_OPPCw::Deny scoring","Scoringwert damit Bestellungen abgelehnt werden"
"Customweb_OPPCw::Deptor ID","Deptor ID"
"Customweb_OPPCw::Description","Beschreibung"
"Customweb_OPPCw::Diners Club","Diners Club"
"Customweb_OPPCw::Direct (Payment Page / Hidden Authorization)","Direkt (Zahlungsseite / Hidden Authorisation)"
"Customweb_OPPCw::Direct Debits","Lastschrift"
"Customweb_OPPCw::Direct E-Banking","Sofortüberweisung"
"Customweb_OPPCw::Direct capture after order","Direkte Buchung nach der Bestellung"
"Customweb_OPPCw::Directly after order","Direkte Buchung nach der Bestellung"
"Customweb_OPPCw::Directly after order (sale)","Direkte Buchung nach der Bestellung"
"Customweb_OPPCw::Disabled","Deaktiviert"
"Customweb_OPPCw::Discount","Rabatt"
"Customweb_OPPCw::Discount Amount","Rabattbetrag"
"Customweb_OPPCw::Discover","Discovercard"
"Customweb_OPPCw::Display","Display"
"Customweb_OPPCw::Display Conditions","Bedingungen anzeigen"
"Customweb_OPPCw::Display Customer ID","Display Customer ID"
"Customweb_OPPCw::Do not display","Do not display"
"Customweb_OPPCw::Do not modify styling","Styling nicht modifizieren"
"Customweb_OPPCw::Do not send basket","Warenkorb nicht übermitteln."
"Customweb_OPPCw::Don't change order status","Bestellstatus nicht verändern."
"Customweb_OPPCw::Due Date","Fälligkeitsdatum"
"Customweb_OPPCw::During authorization","Während der Autorisation"
"Customweb_OPPCw::During the authorization","Während der Autorisation"
"Customweb_OPPCw::Dynamic styling","Dynamisches Styling"
"Customweb_OPPCw::Edit","Bearbeiten"
"Customweb_OPPCw::Edit Invoice %s","Rechnung bearbeiten %s"
"Customweb_OPPCw::Email Address","E-Mail Adresse"
"Customweb_OPPCw::Empty version number field name","Leerer Versionsnummer-Feldname"
"Customweb_OPPCw::Enable or disable logging.","Erfassung aktivieren oder deaktivieren."
"Customweb_OPPCw::Enable the payment method","Diese Zahlungsmethode aktivieren"
"Customweb_OPPCw::Enabled","Aktiviert"
"Customweb_OPPCw::Enter the Security Sender, UserID and Password that is provided to you by Open Payment Platform.","Enter the Security Sender, UserID and Password that is provided to you by Open Payment Platform."
"Customweb_OPPCw::Enter the date on which your card expires.","Geben Sie das Ablaufdatum der Karte ein."
"Customweb_OPPCw::Entity ID","Entity ID"
"Customweb_OPPCw::Entity ID (MoTo)","Entity ID (MoTo)"
"Customweb_OPPCw::Error with the length of the validation date.","Bitte kontrollieren Sie das Gültigkeitsdatum."
"Customweb_OPPCw::Excl. Tax","Exkl. Steuern"
"Customweb_OPPCw::Expiry Date:","Verfallsdatum"
"Customweb_OPPCw::Expiry Month","Ablaufmonat"
"Customweb_OPPCw::Expiry Year","Ablaufjahr"
"Customweb_OPPCw::External","External"
"Customweb_OPPCw::External Checkout","Externer Checkout"
"Customweb_OPPCw::External Checkout: Guest Checkout","External Checkout: Gast Checkout"
"Customweb_OPPCw::Failed","Fehlgeschlagen"
"Customweb_OPPCw::Failed payment authorization.","Die Autorisierung ist fehlgeschlagen."
"Customweb_OPPCw::FemaIframe Heightle","FemaIframe Heightle"
"Customweb_OPPCw::Female","Weiblich"
"Customweb_OPPCw::Figure !number:","Abbildung !number:"
"Customweb_OPPCw::First name","Vorname"
"Customweb_OPPCw::For recurring and moto transactions to work, you have to specify a separate channel.","For recurring and moto transactions to work, you have to specify a separate channel."
"Customweb_OPPCw::Forgot Your Password?","Haben Sie Ihr Passwort vergessen?"
"Customweb_OPPCw::Forgot your password?","Passwort vergessen?"
"Customweb_OPPCw::Frontend API does not currently support transactions from country @country.","Frontend API unterstützt derzeit keine Transaktionen aus dem Land @country."
"Customweb_OPPCw::Frontend Version (IFrame)","Frontend Version (IFrame)"
"Customweb_OPPCw::Frontend Version (Payment Page)","Frontend Version (Payment Page)"
"Customweb_OPPCw::Gender is invalid.","Gender is invalid."
"Customweb_OPPCw::Gender is missing.","Gender is missing."
"Customweb_OPPCw::Gender:","Geschlecht:"
"Customweb_OPPCw::Germany","Germany"
"Customweb_OPPCw::Get Update","Aktualisieren"
"Customweb_OPPCw::Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat"
"Customweb_OPPCw::Green","Grün"
