"* Required Fields","* Erforderliche Felder"
"Allowed Currencies","Erlaubte Währungen"
"Allowed currencies for this payment method","Erlaubte Währungen für diese Zahlungsmethode"
"Already registered?","Bereits registriert?"
"Always Checkout as Guest","Immer als Gast auschecken"
"American Express","American Express"
"Amount","Betrag"
"Amount Incl. Tax","Betrag inkl. Steuern"
"An unexpected error occurred while cancelling the transaction.","Während des Transaktionsabbruchs ist ein unerwarteter Fehler aufgetreten."
"An unexpected error occurred while capturing the transaction.","Während der Verbuchung ist ein unerwarteter Fehler aufgetreten."
"An unexpected error occurred while refunding the transaction.","Während der Rückerstattung ist ein unbekannter Fehler ist aufgetreten."
"An unknown error occured while identifying the cause for failure","Ein unerwarteter Fehler ist aufgetreten, während der Grund für den Fehler identifiziert wurde."
"Approved Payment Status","Approved Payment Status"
"Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"Austria","Austria"
"Author","Autor"
"Authorization Amount","Autorisierungsbetrag"
"Authorization Failed","Autorisierung fehlgeschlagen"
"Authorization Method","Autorisierungsmethode"
"Authorization is uncertain.","Autorisierung ist unsicher"
"Authorization method 'Payment Page' does not support alias manager.","Die Autorisierungsmethode 'Payment Page' unterstützt den Alias Manager nicht."
"Authorized Status","Autorisationsstatus"
"Await Notification","Benachrichtigung abwarten"
"Awaiting confirmation","Warten auf die Bestätigung"
"BIC","BIC"
"BIC: !bic","BIC: !bic"
"Bad signature format.","Das Format der Signatur ist fehlerhaft"
"Bancontact","Bancontact"
"Bank Code: !bank","Bank Code: !bank"
"Bank Country: !country","Bank Country: !country"
"Bank Location","Bank Standort"
"Bank Name","Name der Bank"
"Bank account number","Bankkonto"
"Bank code number","Bankcodenummer"
"Bank data","Bankdaten"
"Basic","Basic"
"Before payment selection","Vor der Wahl der Zahlungsmethode"
"Before showing payment method","Vor der Anzeige der Zahlungarten"
"Belgium","Belgium"
"Beside the default channel id a set of channel ids depending on the order total amount can be defined. Each line must contain a lower amount, an upper amount and the applicable channel id. The format is as follow 'lower amount;upper amount;channel id'. The following example shows a conrete on: '10.00;200.00;23413113213131231353' The upper boundaries are not included. If you leave this field empty or if a amount is outside any range the default channel id is applied. If multiple conditions match, the last one is taken.","Beside the default channel id a set of channel ids depending on the order total amount can be defined. Each line must contain a lower amount, an upper amount and the applicable channel id. The format is as follow 'lower amount;upper amount;channel id'. The following example shows a conrete on: '10.00;200.00;23413113213131231353' The upper boundaries are not included. If you leave this field empty or if a amount is outside any range the default channel id is applied. If multiple conditions match, the last one is taken."
"BillSAFE","BillSAFE"
"BillSAFE (supports Payment Page and Hidden Authorization)","BillSAFE (unterstützt Payment Page und Hidden Authorization)"
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungsinformationen"
"Billing address","Billing address"
"Boni score result","Ergebnis der Bonitätsüberprüfung"
"Brand","Marke"
"Brand Code","Brand Code"
"Brand Name","Markenname"
"Buy","Kaufen"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","Mit den Einstellungen zur Verbuchung kann eine Reservierung entweder direkt nach der Bestellung oder nachträglich im Backend des Shops verbucht werden."
"COPYandPAY Style","COPYandPAY Style"
"CVC Code","CVC Code"
"CVC:","CVC:"
"Cache Timeout","Cache Timeout"
"Cancel","Stornieren"
"Cancel ID","Stornierungs ID"
"Cancel pending orders when out of stock","Ausstehende Bestellungen stornieren, wenn der Artikel nicht mehr an Lager ist."
"Cancel status","Stornierungsstatus"
"Canceled OPPCw","Abbrechen OPPCw"
"Canceling of this payment not possible!","Stornieren dieser Zahlung ist nicht möglich!"
"Cancellation is not supported by this transaction.","Cancellation is not supported by this transaction."
"Cancelled Status","Status für abgebrochene Bestellungen"
"Cannot redirect from a deferred capture","Weiterleitung von der verzögerten Verbuchung konnte nicht stattfinden."
"Cannot update item quantity.","Die Artikelanzahl kann nicht aktualisiert werden."
"Capture (Don't Close)","Verbuchung (Nicht schliessen)"
"Capture Amount","Buchungsbetrag"
"Capture ID","Buchungs ID"
"Capture amount","Verbuchungsbetrag"
"Capture information","Buchungs Informationen"
"Capture status","Verbuchungsstatus"
"Captured Amount","Verbuchter Betrag"
"Captured Status","Verbuchungsstatus"
"Captures","Verbuchungen"
"Captures & Refunds","Verbuchungen & Gutschriften"
"Capturing","Verbuchung"
"Card","Card"
"Card Brand","Kartenanbieter"
"Card CVC/2","Karte CVC/2"
"Card Expiration","Kartenablaufdatum"
"Card Expiry","Card Expiry"
"Card Holder Name","Karteninhaber"
"Card Number","Kartennummer"
"Card Type","Card Type"
"Card to use","Karte, die verwendet werden soll"
"Cardnumber:","Kartennummer"
"Cardtype:","Kartentyp:"
"Carrier Title","Carrier Title"
"Carte Bleue","Carte Bleue"
"Channel Conditions","Channel Conditions"
"Channel ID","Channel ID"
"Channel ID (MoTo)","Channel ID (MoTo)"
"Channel ID (No 3D secure)","Channel ID (No 3D secure)"
"Check out faster","Schnelleres Bestellen"
"Check to activate the external checkout.","Markieren Sie dieses Feld um den externen Checkout zu aktivieren."
"Checkout","Checkout"
"Checkout as Guest","Als Gast zur Kasse gehen"
"Checkout as a Guest or Register","Als Gast zur Kasse gehen oder ein Kundenkonto erstellen"
"Checkout as a new customer","Als Neukunde bestellen"
"Checkout using your account","Über Ihr Benutzerkonto bestellen"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status.","Wählen Sie 'Erstellung nach Bestellung' falls Sie möchten, dass eine Rechung zu Ihrer Bestellung generiert wird. Der status der Rechnung wird anhand Ihres Buchungs Status gesetzt."
"City","Stadt"
"Classes","Klassen"
"Color","Farbe"
"Company Commercial Number","Handelsregisternummer der Firma"
"Company VAT Number","Company VAT Number"
"Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>.","Konfigurieren Sie die Zahlungsportale unter  Configuration > Payment Portals im Open Payment Platform Backend entsprechend der Anweisungen im Manual: <a href='!url'>!url</a>."
"Confirm Mandate","Mandat bestätigen"
"Confirm Password","Passwort bestätigen"
"Connector Test Mode","Connector Test Mode"
"Connector Transaction ID","Connector Transaction ID"
"Consumer score type invalid.","Art der Kundenbewertung ist ungültig."
"Continue","Fortfahren"
"Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter.","Kopieren Sie die Portal ID, den Secret Key, die Merchant ID sowie die Sub Account ID aus dem Backoffice ins Hauptmodul. Sie finden diese Informationen unter Configuration > Payment Portals im Tab API Parameter."
"Copy the shown encryption key into the configuration.","Copy the shown encryption key into the configuration."
"Could not add proposed address changes.","Die vorgechlagenen Adressänderungen konnten nicht umgesetzt werden."
"Could not convert object of type '!type' to string.","Konvertierung eines Objektes vom Typ '!type' ist fehlgeschlagen."
"Could not execute scheduled update.","Could not execute scheduled update."
"Could not find a brand for the given card number.","Es konnte keinen Brand für die gegebene Karte gefunden werden."
"Could not find an adapter for the authoriztion method !methodName.","Could not find an adapter for the authoriztion method !methodName."
"Could not find pressed button.","Der Button konnte nicht gefunden werden"
"Could not find template file at default location '!location'.","Konnte kein Template auf dem Standard Pfad unter '!location' finden."
"Could not find the payment method !paymentMethodName.","Zahlungsmethode '!paymentMethodName' konnte nicht gefunden werden."
"Could not load layout from URL !url. Reason: !reason","Das Layout konnte nicht von !url geladen werden. Grund: !reason"
"Country","Land"
"Country Restriction","Country Restriction"
"Create Account","Benutzerkonto erstellen"
"Create New Order - Payment","Neue Bestellung erstellen - Zahlung"
"Create a recurring payment, with an existing alias is not supported","Mit einem existierenden Alias ist die Erstellung einer wiederkehrenden Zahlung nicht möglich."
"Creating an account has many benefits:","Die Erstellung eines Benutzerkontos bringt viele Vorteile mit sich:"
"Creation Date","Erstellungsdatum"
"Credit Card Brands","Kreditkartenbrand"
"Credit Card Number","Kreditkartennummer"
"Credit Memo History","Gutschrifthistorie"
"Credit Memo Totals","Gutschrift Total"
"Credit memo's total must be positive.","Der Gesamtbetrag der Gutschrift muss positiv sein."
"Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank.","Gläubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> Kunde: !CUSTOMER <br/> <br /> Ich ermächtige (A) !MERCHANT_NAME, Zahlungen von meinem Konto mittels Lastschrift einzuziehen. Zugleich (B) weise ich mein Kreditinstitut an, die von !MERCHANT_NAME auf mein Konto gezogenen Lastschriften einzulösen. <br />Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen. Meine Rechte zu dem obigen Mandat sind in einem Merkblatt enthalten, das ich von meinem Kreditinstitut erhalten kann."
"Creditworthiness was denied.","Kreditwürdigkeit wurde abgelehnt."
"Currency","Währung"
"Current Configuration Scope:","Scope der Konfiguration:"
"Custom CSS Url","Custom CSS Url"
"Custom Cancel Button","Custom Cancel Button"
"Custom JS Url","Custom JS Url"
"Custom Parameters","Custom Parameters"
"Custom Pay Button","Custom Pay Button"
"Customer Account","Kundenkonto"
"Customer Alias Management","Kunden Alias Management"
"Customer Date of Birth","Customer Date of Birth"
"Customer Gender","Customer Gender"
"Customer Phone Number","Customer Phone Number"
"Customer successfully returned from OPPCw","Kunde ist erfolgreich von OPPCw zurückgekehrt"
"Customer successfully returned from Open Payment Platform","Der Kunde ist erfolgreich von der OPPCw Payment Page zurückgekehrt."
"Customer sucessfully returned from the OPPCw payment page.","Der Kunde ist erfolgreich von der OPPCw Payment Page zurückgekehrt."
"Customers","Kunden"
"Customweb","Customweb"
"Czech Republic","Czech Republic"
"Dankort","Dankort"
"Date","Datum"
"Date of Birth","Geburtsdatum"
"Date of birth must be provided.","Das Geburtsdatum muss angegeben werden."
"Day","Tag"
"Deactivate","Deaktivieren"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Sehr geehrter Kunde wir haben Ihre Rechnungs- und Lieferinformationen erhalten. Um Ihre Bestellung abschliessen zu können, bitten wir Sie ein Account zu erstellen oder sich als Gast anzumelden."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Sehr geehrter Kunde, es scheint, dass Ihre Zahlung erfolgreich war, aber wir warten immer noch auf eine Bestätigung. Sie können auf dieser Seite warten, und wir leiten Sie weiter nachdem wir die Bestätigung erhalten haben. Oder Sie können dieses Fenster schliessen und wir senden Ihnen eine Auftragsbestätigung später per Email."
"Debtor ID","Debitor ID"
"Decline Message","Ablehnungsnachricht"
"Declined by test data.","Declined by test data."
"Default Config","Standard Konfiguration"
"Deferred","Verzögert"
"Deferred (authorization)","Verzögert (Autorisierung)"
"Deferred capturing","Verzögerte Buchung"
"Deferred settlement","Verzögerte Erstellung"
"Define a maximal order total for this checkout to be available.","Definieren Sie einen Maximalbestellwert für den Checkout."
"Define a minimal order total for this checkout to be available.","Definieren Sie einen Mindestbestellwert, der erreicht werden muss um den Checkout verfügbar zu machen."
"Define the height of the iframe element (only has an effect if iframe authorization is selected).","Define the height of the iframe element (only has an effect if iframe authorization is selected)."
"Define the payment methods, the customer can choose from. List them separated by a space.","Define the payment methods, the customer can choose from. List them separated by a space."
"Define the style to be used for the COPYandPAY payment form.","Define the style to be used for the COPYandPAY payment form."
"Delayed","Verzögert"
"Delete","Löschen"
"Delivery address","Delivery address"
"Denied Payment Status","Denied Payment Status"
"Deny scoring","Scoringwert damit Bestellungen abgelehnt werden"
"Deptor ID","Deptor ID"
"Description","Beschreibung"
"Diners Club","Diners Club"
"Direct (Payment Page / Hidden Authorization)","Direkt (Zahlungsseite / Hidden Authorisation)"
"Direct Debits","Lastschrift"
"Direct E-Banking","Sofortüberweisung"
"Direct capture after order","Direkte Buchung nach der Bestellung"
"Directly after order","Direkte Buchung nach der Bestellung"
"Directly after order (sale)","Direkte Buchung nach der Bestellung"
"Disabled","Deaktiviert"
"Discount","Rabatt"
"Discount Amount","Rabattbetrag"
"Discover","Discovercard"
"Display","Display"
"Display Conditions","Bedingungen anzeigen"
"Display Customer ID","Display Customer ID"
"Do not display","Do not display"
"Do not modify styling","Styling nicht modifizieren"
"Do not send basket","Warenkorb nicht übermitteln."
"Don't change order status","Bestellstatus nicht verändern."
"Due Date","Fälligkeitsdatum"
"During authorization","Während der Autorisation"
"During the authorization","Während der Autorisation"
"Dynamic styling","Dynamisches Styling"
"Edit","Bearbeiten"
"Edit Invoice %s","Rechnung bearbeiten %s"
"Email Address","E-Mail Adresse"
"Empty version number field name","Leerer Versionsnummer-Feldname"
"Enable or disable logging.","Erfassung aktivieren oder deaktivieren."
"Enable the payment method","Diese Zahlungsmethode aktivieren"
"Enabled","Aktiviert"
"Enter the Security Sender, UserID and Password that is provided to you by Open Payment Platform.","Enter the Security Sender, UserID and Password that is provided to you by Open Payment Platform."
"Enter the date on which your card expires.","Geben Sie das Ablaufdatum der Karte ein."
"Entity ID","Entity ID"
"Entity ID (MoTo)","Entity ID (MoTo)"
"Error with the length of the validation date.","Bitte kontrollieren Sie das Gültigkeitsdatum."
"Excl. Tax","Exkl. Steuern"
"Expiry Date:","Verfallsdatum"
"Expiry Month","Ablaufmonat"
"Expiry Year","Ablaufjahr"
"External","External"
"External Checkout","Externer Checkout"
"External Checkout: Guest Checkout","External Checkout: Gast Checkout"
"Failed","Fehlgeschlagen"
"Failed payment authorization.","Die Autorisierung ist fehlgeschlagen."
"FemaIframe Heightle","FemaIframe Heightle"
"Female","Weiblich"
"Figure !number:","Abbildung !number:"
"First name","Vorname"
"For recurring and moto transactions to work, you have to specify a separate channel.","For recurring and moto transactions to work, you have to specify a separate channel."
"Forgot Your Password?","Haben Sie Ihr Passwort vergessen?"
"Forgot your password?","Passwort vergessen?"
"Frontend API does not currently support transactions from country @country.","Frontend API unterstützt derzeit keine Transaktionen aus dem Land @country."
"Frontend Version (IFrame)","Frontend Version (IFrame)"
"Frontend Version (Payment Page)","Frontend Version (Payment Page)"
"Gender is invalid.","Gender is invalid."
"Gender is missing.","Gender is missing."
"Gender:","Geschlecht:"
"Germany","Germany"
"Get Update","Aktualisieren"
"Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat"
"Green","Grün"
"Hash calculating method","Hash-Berechnungsverfahren"
"Here you can activate Payone address checking.","Hier können Sie die Payone Adressüberprüfung aktivieren."
"Here you can activate a scoring check on transactions. Setting this option to inactive means that the values selected in allow scoring, uncertain scoring and deny scoring are ignored.","Hier können Sie die Bonitätsprüfung für Transaktionen aktivieren. Wenn Sie diese Option deaktivieren, bedeutet dies, dass die ausgewählten Werte 'erlauben' 'unsicher' und 'ablehnen' ignoriert werden."
"Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page.","Hier können Sie festlegen, ob der Warenkorb (Rechnungsartikel) an  Open Payment Platform gesendet wird. Falls die Mengen in Ihrem Shop oftmals 999 überschreiten, sollten Sie diese Option vielleicht deaktivieren, da dies die maximale Anzahl ist, die von  Open Payment Platform unterstützt wird. Diese Option können Sie nicht deaktivieren falls Sie Payment Page benutzen."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an Open Payment Platform übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Open Payment Platform . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Open Payment Platform . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an Open Payment Platform übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution.","Hier können Sie festlegen, ob Sie ein geprüfter Shop für Payolution sind. Aktivieren Sie diese Funktion je nach Vertrag mit Payolution."
"Here you can set the maximum cart amount for which addresses should be checked.","Hier können Sie den maximalen Wagenbetrag festlegen, für den die Adressen geprüft werden sollen."
"Here you can set the maximum cart amount for which scoring should be checked.","Hier können Sie den maximalen Warenkorbwert festlegen, für den die Bewertung geprüft werden soll."
"Here you can set the maximum value for which addresses should be checked","Hier können Sie den Maximalwert eingeben, für den eine Adressüberprüfung durchgeführt werden soll."
"Here you can set the maximum value for which scoring should be checked","Hier können Sie den Maximalwert eingeben, für den eine Bonitätsprüfung durchgeführt werden soll."
"Here you can set the minimum cart amount for which addresses should be checked.","Hier können Sie den minimalen Warenkorb-Betrag festlegen, für den die Adressen geprüft werden sollen."
"Here you can set the minimum cart amount for which scoring should be checked.","Hier können Sie den minimalen Warenkorbwert festlegen, für den die Bewertung geprüft werden soll."
"Here you can set the minimum value for which addresses should be checked","Hier können Sie den Minimalwert eingeben, für den eine Adressüberprüfung durchgeführt werden soll."
"Here you can set the minimum value for which scoring should be checked","Hier können Sie den Minimalwert eingeben, für den eine Bonitätsprüfung durchgeführt werden soll."
"Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information.","Hier können Sie die Zahlungsinformationen festlegen, die dem Kunden angezeigt werden, wenn er den Händler direkt bezahlt. Sie können {id} als Platzhalter für die Transaction ID verwernden. Sie können einfaches HTML wie &lt;b&gt; verwenden, um die Information zu formatieren."
"Here you can set the time that a validation is valid, in hours.","Hier können Sie in Stunden angeben, wie lange die Validierung gültig sein soll."
"Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used.","Hier können Sie den Typ der Adressüberprüfung auswählen, der benutzt werden soll. Wenn 'Person' ausgewählt ist und der Kunde nicht aus Deutschland stammt, wird 'Basic' benutzt."
"Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Hier können sie die Version der Frontend API einstellen, wenn die Autorisierungsmethode IFrame genutzt wird. Die Version 2 ermöglicht es Ihnen Templates mit custom CSS und JavaScript zu definieren  und dabei trotzdem PCI DSS SAQ A compliant zu bleiben. Stellen Sie sicher, dass ""Frontend-URL PCI DSS SAQ A compliant"" im Backend von Open Payment Platform aufgelistet ist unter Configuration > Payment Portals > (Portal) > API-Parameter und, dass FinanceGate Frontend in den ausgewählten Channels aktiv ist unter Configuration > Payment Portals > Portal > General. Danach stellen Sie sicher, dass Ihr Template korrekt eingerichtet ist."
"Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Hier können sie die Version der Frontend API einstellen, wenn die Autorisierungsmethode Payment Page genutzt wird. Die Version 2 ermöglicht es Ihnen Templates mit custom CSS und JavaScript zu definieren  und dabei trotzdem PCI DSS SAQ A compliant zu bleiben. Stellen Sie sicher, dass ""Frontend-URL PCI DSS SAQ A compliant"" im Backend von Open Payment Platform aufgelistet ist unter Configuration > Payment Portals > (Portal) > API-Parameter und, dass FinanceGate Frontend in den ausgewählten Channels aktiv ist unter Configuration > Payment Portals > Portal > General. Danach stellen Sie sicher, dass Ihr Template korrekt eingerichtet ist."
