"Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate.","Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate."
"Activate the payment method that you want to process transactions with.","Activate the payment method that you want to process transactions with."
"Active","Actief"
"Active (all criteria + boniscore)","Active (all criteria + boniscore)"
"Active (all criteria)","Active (all criteria)"
"Active (hard criteria)","Active (hard criteria)"
"Active - Fail when corrections are proposed.","Active - Fail when corrections are proposed."
"Active - Ignore proposed corrections.","Active - Ignore proposed corrections."
"Active - Show proposed corrections in backend.","Active - Show proposed corrections in backend."
"Additional Information","Additional Information"
"Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing).","Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing)."
"Address Addition","Address Addition"
"Address check executed","Address check executed"
"Address check maximum","Address check maximum"
"Address check minimum","Address check minimum"
"Address check type","Address check type"
"Address check type invalid.","Address check type invalid."
"Addresses must be equal.","Addresses must be equal."
"Adjust Qty","Pas de hoeveelheid"
"Adjustment Discount","Adjustment Discount"
"Adjustment Fee","Adjustment Fee"
"After payment selection","Na het selecteren van de betaalmethode"
"After selecting payment method","After selecting payment method"
"Agreement","Agreement"
"Ajax authorization not supported.","Ajax machtiging wordt niet ondersteund."
"Alias","Alias"
"Alias For Display","Alias ​​voor Beeldscherm"
"Alias Manager","Alias Manager"
"Alias manager","Alias manager"
"All Customers","All Customers"
"Allow scoring","Allow scoring"
"Allowed Currencies","Allowed Currencies"
"Allowed currencies for this payment method","Toegestane valuta voor deze betaalmethode"
"Already registered?","Already registered?"
"Always Checkout as Guest","Always Checkout as Guest"
"American Express","American Express"
"Amount","Bedrag"
"Amount Incl. Tax","Amount Incl. Tax"
"An unexpected error occurred while cancelling the transaction.","An unexpected error occurred while cancelling the transaction."
"An unexpected error occurred while capturing the transaction.","An unexpected error occurred while capturing the transaction."
"An unexpected error occurred while refunding the transaction.","An unexpected error occurred while refunding the transaction."
"An unknown error occured while identifying the cause for failure","An unknown error occured while identifying the cause for failure"
"Approved Payment Status","Approved Payment Status"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Austria","Oostenrijk"
"Author","Author"
"Authorization Amount","Autorisatie bedrag"
"Authorization Failed","Autorisatie mislukt"
"Authorization Method","Autorisatie Methode"
"Authorization is uncertain.","Autorisatie is onzeker"
"Authorization method 'Payment Page' does not support alias manager.","Authorization method 'Payment Page' does not support alias manager."
"Authorized Status","geautoriseerde status"
"Await Notification","Await Notification"
"Awaiting confirmation","Awaiting confirmation"
"BIC","BIC"
"BIC: !bic","BIC: !bic"
"Bad signature format.","Bad signature format."
"Bancontact","Bancontact"
"Bank Code: !bank","Bank Code: !bank"
"Bank Country: !country","Land: !country"
"Bank Location","Bank Locatie"
"Bank Name","Bank Naam"
"Bank account number","Bankrekeningnummer"
"Bank code number","Bankcode"
"Bank data","Bank data"
"Basic","Basic"
"Before payment selection","Vóór het selecteren van de betaalmethode"
"Before showing payment method","Before showing payment method"
"Belgium","Belgium"
"Beside the default channel id a set of channel ids depending on the order total amount can be defined. Each line must contain a lower amount, an upper amount and the applicable channel id. The format is as follow 'lower amount;upper amount;channel id'. The following example shows a conrete on: '10.00;200.00;23413113213131231353' The upper boundaries are not included. If you leave this field empty or if a amount is outside any range the default channel id is applied. If multiple conditions match, the last one is taken.","Naast de standaard kanaal id een reeks kanaal ids afhankelijk van de bestelling totale bedrag kan worden gedefinieerd. Elke regel moet een lager bedrag, een bovenste bedrag en de van toepassing zijnde kanaal id bevatten. De indeling is als volgt 'lager bedrag; bovenste bedrag; kanaal id'. Het volgende voorbeeld toont een conrete op: '10.00; 200.00; 23413113213131231353' De bovengrenzen zijn niet inbegrepen. Als u dit veld leeg laat, of als een bedrag buiten elk bereik van de standaard-kanaal-ID wordt toegepast. Als meerdere voorwaarden overeenkomen, wordt de laatste genomen."
"BillSAFE","BillSAFE"
"BillSAFE (supports Payment Page and Hidden Authorization)","BillSAFE (supports Payment Page and Hidden Authorization)"
"Billing Address","Billing Address"
"Billing Information","Billing Information"
"Billing address","Factuuradres"
"Boni score result","Boni score result"
"Brand","Brand"
"Brand Code","Brand Code"
"Brand Name","Brand Name"
"Buy","Buy"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"COPYandPAY Style","COPYandPAY Style"
"CVC Code","CVC Code"
"CVC:","CVC:"
"Cache Timeout","Cache Timeout"
"Cancel","Cancel"
"Cancel ID","Cancel ID"
"Cancel pending orders when out of stock","Lopende orders te annuleren als het item is niet langer op voorraad."
"Cancel status","Cancel status"
"Canceled OPPCw","Canceled OPPCw"
"Canceling of this payment not possible!","Deze betaling kan niet worden geannuleerd!"
"Cancellation is not supported by this transaction.","Cancellation is not supported by this transaction."
"Cancelled Status","Geannuleerde Status"
"Cannot redirect from a deferred capture","Cannot redirect from a deferred capture"
"Cannot update item quantity.","Kan product hoeveelheid niet bijwerken."
"Capture (Don't Close)","Capture (Don't Close)"
"Capture Amount","Capture Amount"
"Capture ID","Capture ID"
"Capture amount","Capture bedrag"
"Capture information","Boekingsinformatie"
"Capture status","Capture status"
"Capture: Don't Close","Capture: Don't Close"
"Captured Amount","Opgenomen bedrag"
"Captured Status","Ontvangen (Geslaagd)"
"Captures","Captures"
"Captures & Refunds","Captures & Refunds"
"Capturing","Capturing"
"Card","Card"
"Card Brand","Card Brand"
"Card CVC/2","Card CVC/2"
"Card Expiration","Kaart vervaldatum"
"Card Expiry","Afloopdatum"
"Card Holder Name","Kaarthouder"
"Card Number","Kaartnummer"
"Card Type","Card Type"
"Card to use","Card to use"
"Cardnumber:","Cardnumber:"
"Cardtype:","Cardtype:"
"Carrier Title","Carrier Title"
"Carte Bleue","Carte Bleue"
"Channel Conditions","Kanaalomstandigheden"
"Channel ID","Channel ID"
"Channel ID (MoTo)","Channel ID (MoTo)"
"Channel ID (No 3D secure)","Channel ID (zonder 3D secure)"
"Check out faster","Check out faster"
"Check to activate the external checkout.","Check to activate the external checkout."
"Checkout","Checkout"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Checkout as a new customer","Checkout as a new customer"
"Checkout using your account","Checkout using your account"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Selecteer 'Creatie na de bestelling' als u wilt dat een factuur wordt gecreëerd. De status van de bestelling is gebaseerd op de boeken van de status."
"City","City"
"Classes","Classes"
"Color","Color"
"Company Commercial Number","Company Commerciële Nummer"
"Company VAT Number","Company VAT Number"
"Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>.","Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>."
"Confirm Mandate","Confirm Mandate"
"Confirm Password","Confirm Password"
"Connector Test Mode","Connector Test Mode"
"Connector Transaction ID","Connector Transaction ID"
"Consumer score type invalid.","Consumer score type invalid."
"Continue","Voortzetten"
"Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter.","Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter."
"Copy the shown encryption key into the configuration.","Copy the shown encryption key into the configuration."
"Could not add proposed address changes.","Could not add proposed address changes."
"Could not convert object of type '!type' to string.","Kan niet converteren object van het type '!type' naar een string."
"Could not execute scheduled update.","Could not execute scheduled update."
"Could not find a brand for the given card number.","Kan een merk voor de opgegeven kaartnummer niet vinden."
"Could not find an adapter for the authoriztion method !methodName.","Kan een adapter voor de autorisatie methode !methodName niet vinden."
"Could not find pressed button.","Kon ingedrukte knop niet vinden."
"Could not find template file at default location '!location'.","Kan template bestand niet vinden op standaard locatie '!location'."
"Could not find the payment method !paymentMethodName.","Kan de betaalmethode !paymentMethodName niet vinden."
"Could not load layout from URL !url. Reason: !reason","Kon layout niet laden van URL !url. Reden: !reason"
"Country","Country"
"Country Restriction","Country Restriction"
"Create Account","Create Account"
"Create New Order - Payment","Create New Order - Payment"
"Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Creating an account has many benefits:","Creating an account has many benefits:"
"Creation Date","Creation Date"
"Credit Card Brands","Credit Card Brands"
"Credit Card Number","Credit Card Number"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Did you mean: Credit memos total must be positive.Totale creditnota's moet positief zijn."
"Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank.","Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank."
"Creditworthiness was denied.","Creditworthiness was denied."
"Currency","Valuta"
"Current Configuration Scope:","Huidige omvang van de configuratie:"
"Custom CSS Url","Custom CSS Url"
"Custom Cancel Button","Custom Cancel Button"
"Custom JS Url","Custom JS URL"
"Custom Parameters","Custom Parameters"
"Custom Pay Button","Custom Pay Button"
"Customer Account","Customer Account"
"Customer Alias Management","Customer Alias Management"
"Customer Date of Birth","Customer Date of Birth"
"Customer Gender","Customer Gender"
"Customer Phone Number","Customer Phone Number"
"Customer successfully returned from OPPCw","De cliënt heeft met succes teruggekeerd van OPPCw."
"Customer successfully returned from Open Payment Platform","Klant met succes terug uit Open Payment Platform"
"Customer sucessfully returned from the OPPCw payment page.","Customer sucessfully returned from the OPPCw payment page."
"Customers","Customers"
"Customweb","Customweb"
"Czech Republic","Czech Republic"
"Dankort","Dankort"
"Date","Datum"
"Date of Birth","Geboortedatum"
"Date of birth must be provided.","Date of birth must be provided."
"Day","Dag"
"Deactivate","Deactivate"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Debtor ID","Debtor ID"
"Decline Message","Decline Message"
"Declined by test data.","Afwijzing op testdata."
"Default Config","Standaardconfiguratie"
"Deferred","vertraagd"
"Deferred (authorization)","Deferred (authorization)"
"Deferred capturing","De vertraagde boeking"
"Deferred settlement","Vertraagde creatie"
"Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Define the height of the iframe element (only has an effect if iframe authorization is selected).","Bepaal de hoogte van het iFrame element (heeft alleen effect als iFrame toestemming is geselecteerd)."
"Define the payment methods, the customer can choose from. List them separated by a space.","Define the payment methods, the customer can choose from. List them separated by a space."
"Define the style to be used for the COPYandPAY payment form.","Define the style to be used for the COPYandPAY payment form."
"Delayed","Vertraagd"
"Delete","Verwijder"
"Delivery address","Afleveradres"
"Denied Payment Status","Denied Payment Status"
"Deny scoring","Deny scoring"
"Deptor ID","Deptor ID"
"Description","Beschrijving"
"Diners Club","Diners Club"
"Direct (Payment Page / Hidden Authorization)","Direct (Payment Page / Hidden Authorization)"
"Direct Debits","Direct Debits"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Directe boeking"
"Directly after order","Direct capture na bestelling"
"Directly after order (sale)","Directly after order (sale)"
"Disabled","Invalide"
"Discount","Discount"
"Discount Amount","Bedrag van de korting"
"Discover","Discover"
"Display","Display"
"Display Conditions","Display Conditions"
"Display Customer ID","Display Customer ID"
"Do not display","Do not display"
"Do not modify styling","Do not modify styling"
"Do not send basket","Do not send basket"
"Don't change order status","Heeft orderstatus niet wijzigen"
"Due Date","Due Date"
"During authorization","Tijdens de autorisatie"
"During the authorization","During the authorization"
"Dynamic styling","Dynamic styling"
"Edit","Bewerken"
"Edit Invoice #%s","Edit Invoice #%s"
"Edit Invoice %s","Edit Invoice %s"
"Email Address","Email Address"
"Empty version number field name","Empty version number field name"
"Enable or disable logging.","Enable or disable logging."
"Enable the payment method","Betaalmethode inschakelen"
"Enabled","Ingeschakeld"
"Enter the Security Sender, UserID and Password that is provided to you by Open Payment Platform.","Enter the Security Sender, UserID and Password that is provided to you by Open Payment Platform."
"Enter the date on which your card expires.","Voer de vervaldatum van de kaart"
"Entity ID","Entity ID"
"Entity ID (MoTo)","Entity ID (MoTo)"
"Error with the length of the validation date.","Error with the length of the validation date."
"Excl. Tax","Excl. belasting"
"Expiry Date:","Expiry Date:"
"Expiry Month","Expiry Month"
"Expiry Year","Expiry Year"
"External","External"
"External Checkout","External Checkout"
"External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Failed","Mislukt"
"Failed payment authorization.","Mislukte betaling toestemming."
"FemaIframe Heightle","Vrouwelijk"
"Female","vrouwelijk"
"Figure !number:","Figure !number:"
"First name","First name"
"For recurring and moto transactions to work, you have to specify a separate channel.","Als u wilt terugkerende transacties en MoTo gebruiken, moet u een apart kanaal te definiëren."
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"Frontend API does not currently support transactions from country @country.","Frontend API does not currently support transactions from country @country."
"Frontend Version (IFrame)","Frontend Version (IFrame)"
"Frontend Version (Payment Page)","Frontend Version (Payment Page)"
"Gender","geslacht"
"Gender is invalid.","Het geslacht is onjuist."
"Gender is missing.","Het geslacht ontbreekt."
"Germany","Duitsland (DE)"
"Get Update","Get Update"
"Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat"
"Green","Green"
"Hash calculating method","Hash calculating method"
"Here you can activate Payone address checking.","Here you can activate Payone address checking."
"Here you can activate a scoring check on transactions. Setting this option to inactive means that the values selected in allow scoring, uncertain scoring and deny scoring are ignored.","Here you can activate a scoring check on transactions. Setting this option to inactive means that the values selected in allow scoring, uncertain scoring and deny scoring are ignored."
"Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page.","Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Open Payment Platform . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier kunt u een bestelling voorvoegsel invoegen. Het voorvoegsel kunt u het ordernummer dat op Open Payment Platform wordt uitgezonden veranderen. Het voorvoegsel moet de tag {id} bevatten. Het zal dan worden vervangen door het ordernummer (bijvoorbeeld naam- {id}). Zorg ervoor dat u niet gebruikt '_'."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution.","Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution."
"Here you can set the maximum cart amount for which addresses should be checked.","Here you can set the maximum cart amount for which addresses should be checked."
"Here you can set the maximum cart amount for which scoring should be checked.","Here you can set the maximum cart amount for which scoring should be checked."
"Here you can set the maximum value for which addresses should be checked","Here you can set the maximum value for which addresses should be checked"
"Here you can set the maximum value for which scoring should be checked","Here you can set the maximum value for which scoring should be checked"
"Here you can set the minimum cart amount for which addresses should be checked.","Here you can set the minimum cart amount for which addresses should be checked."
"Here you can set the minimum cart amount for which scoring should be checked.","Here you can set the minimum cart amount for which scoring should be checked."
"Here you can set the minimum value for which addresses should be checked","Here you can set the minimum value for which addresses should be checked"
"Here you can set the minimum value for which scoring should be checked","Here you can set the minimum value for which scoring should be checked"
"Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information.","Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information."
"Here you can set the time that a validation is valid, in hours.","Here you can set the time that a validation is valid, in hours."
"Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used.","Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used."
"Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring.","Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring."
"Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring.","Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring."
"Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring.","Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring."
"Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form.","Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form."
"Hide","Hide"
"Hide Conditions","Hide Conditions"
"Hosted iFrame Configuration","Hosted iFrame Configuration"
"Hungary","Hungary"
"I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply.","I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply."
"I agree to the presented terms.","I agree to the presented terms."
"I want to submit the mandate.","I want to submit the mandate."
"IBAN","IBAN"
"IBAN number","IBAN-nummer"
"IBAN: !iban","IBAN: !iban"
"IFrame Height","IFrame Height"
"IP could not be retrieved.","IP could not be retrieved."
"Identification number: !number","Identificatienummer"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Als er slechts een product op voorraad is en de betaling van de klant (de exacte koopt dit product) faalt, zolang het product wordt gereserveerd tot de bestelling wordt geannuleerd (zie Time-out optie). Schakel deze optie in als u NIET wilt dat het product zal worden gereserveerd. Bestellingen met een mislukte of afgebroken status van de betaling wordt meteen geannuleerd."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled."
"If it is not applicable leave the field empty.","Als het niet van toepassing laat het veld leeg."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden geannuleerd."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden vastgelegd."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden terugbetaald."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"If the test mode is used, then the test parameter is used.","If the test mode is used, then the test parameter is used."
"If this payment method should support recurring and moto transactions, you have to specify a second channel without 3d secure.","Als u wilt dat deze betaalmethode ondersteunt terugkerende transacties en MoTo, moet u een tweede kanaal zonder 3D Secure voeren."
"If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure.","If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure."
"If you have a specific pagestyle for PayPal, you can specify it here.","If you have a specific pagestyle for PayPal, you can specify it here."
