"Customweb_OPPCw::* Required Fields","* Champs requis"
"Customweb_OPPCw::Account Number: !number","Numéro de compte: !number"
"Customweb_OPPCw::Account owner name.","Nom du titulaire du compte"
"Customweb_OPPCw::Account statement","Account statement"
"Customweb_OPPCw::Account statement line 1","Account statement line 1"
"Customweb_OPPCw::Account statement line 2","Account statement line 2"
"Customweb_OPPCw::Account statement line 3","Account statement line 3"
"Customweb_OPPCw::Action","Action"
"Customweb_OPPCw::Actions","Actions"
"Customweb_OPPCw::Activate","Activé"
"Customweb_OPPCw::Activate address checking","Activate address checking"
"Customweb_OPPCw::Activate scoring","Activate scoring"
"Customweb_OPPCw::Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate.","Activer le mode de paiement et insérez le channel ID pour chaque mode de paiement que vous activez."
"Customweb_OPPCw::Activate the payment method that you want to process transactions with.","Activate the payment method that you want to process transactions with."
"Customweb_OPPCw::Active","Activé"
"Customweb_OPPCw::Active (all criteria + boniscore)","Active (all criteria + boniscore)"
"Customweb_OPPCw::Active (all criteria)","Active (all criteria)"
"Customweb_OPPCw::Active (hard criteria)","Active (hard criteria)"
"Customweb_OPPCw::Active - Fail when corrections are proposed.","Active - Fail when corrections are proposed."
"Customweb_OPPCw::Active - Ignore proposed corrections.","Active - Ignore proposed corrections."
"Customweb_OPPCw::Active - Show proposed corrections in backend.","Active - Show proposed corrections in backend."
"Customweb_OPPCw::Additional Information","Informations complémentaires"
"Customweb_OPPCw::Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing).","Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing)."
"Customweb_OPPCw::Address Addition","Address Addition"
"Customweb_OPPCw::Address check executed","Address check executed"
"Customweb_OPPCw::Address check maximum","Address check maximum"
"Customweb_OPPCw::Address check minimum","Address check minimum"
"Customweb_OPPCw::Address check type","Address check type"
"Customweb_OPPCw::Address check type invalid.","Address check type invalid."
"Customweb_OPPCw::Addresses must be equal.","Addresses must be equal."
"Customweb_OPPCw::Adjust Qty","Ajuster la quantité"
"Customweb_OPPCw::Adjustment Discount","Ajustement des rabais"
"Customweb_OPPCw::Adjustment Fee","Frais d'ajustement"
"Customweb_OPPCw::After payment selection","Après la sélection du mode de paiement"
"Customweb_OPPCw::After selecting payment method","After selecting payment method"
"Customweb_OPPCw::Agreement","Agreement"
"Customweb_OPPCw::Ajax authorization not supported.","Autorisation Ajax pas possible."
"Customweb_OPPCw::Alias","Alias"
"Customweb_OPPCw::Alias For Display","Alias pour l'affichage"
"Customweb_OPPCw::Alias Manager","Alias Manager"
"Customweb_OPPCw::Alias manager","One Click Checkout (Alias Manager)"
"Customweb_OPPCw::All Customers","Tous les clients"
"Customweb_OPPCw::Allow scoring","Allow scoring"
"Customweb_OPPCw::Allowed Currencies","Devises autorisés"
"Customweb_OPPCw::Allowed currencies for this payment method","Devises autorisées pour cette méthode de paiement"
"Customweb_OPPCw::Already registered?","Déjà inscrit?"
"Customweb_OPPCw::Always Checkout as Guest","Toujours commander en tant qu'invité"
"Customweb_OPPCw::American Express","American Express"
"Customweb_OPPCw::Amount","Montant"
"Customweb_OPPCw::Amount Incl. Tax","Montant Incl. Impôt"
"Customweb_OPPCw::An unexpected error occurred while cancelling the transaction.","An unexpected error occurred while cancelling the transaction."
"Customweb_OPPCw::An unexpected error occurred while capturing the transaction.","An unexpected error occurred while capturing the transaction."
"Customweb_OPPCw::An unexpected error occurred while refunding the transaction.","An unexpected error occurred while refunding the transaction."
"Customweb_OPPCw::An unknown error occured while identifying the cause for failure","An unknown error occured while identifying the cause for failure"
"Customweb_OPPCw::Approved Payment Status","Statut de paiement approuvé"
"Customweb_OPPCw::Are you sure you want to cancel this order?","Êtes-vous sûr d'annuler cette commande?"
"Customweb_OPPCw::Austria","Autriche (AT)"
"Customweb_OPPCw::Author","Auteur"
"Customweb_OPPCw::Authorization Amount","Montant de l'autorisation"
"Customweb_OPPCw::Authorization Failed","Autorisation a échouée"
"Customweb_OPPCw::Authorization Method","Mode d'autorisation"
"Customweb_OPPCw::Authorization is uncertain.","Autorisation est incertaine"
"Customweb_OPPCw::Authorization method 'Payment Page' does not support alias manager.","Authorization method 'Payment Page' does not support alias manager."
"Customweb_OPPCw::Authorized Status","Statut autorisé"
"Customweb_OPPCw::Await Notification","Attendre la notification"
"Customweb_OPPCw::Awaiting confirmation","En attente de confirmation"
"Customweb_OPPCw::BIC","BIC"
"Customweb_OPPCw::BIC: !bic","BIC: !bic"
"Customweb_OPPCw::Bad signature format.","Format de signature incorrect"
"Customweb_OPPCw::Bancontact","Bancontact"
"Customweb_OPPCw::Bank Code: !bank","Code de la banque: !bank"
"Customweb_OPPCw::Bank Country: !country","Pays de la banque: !country"
"Customweb_OPPCw::Bank Location","Lieu de la banque"
"Customweb_OPPCw::Bank Name","Nom de la banque"
"Customweb_OPPCw::Bank account number","Número du compte bancaire"
"Customweb_OPPCw::Bank code number","Numéro de code banquaire"
"Customweb_OPPCw::Bank data","Bank data"
"Customweb_OPPCw::Basic","Basic"
"Customweb_OPPCw::Before payment selection","Avant la sélection du mode de paiement"
"Customweb_OPPCw::Before showing payment method","Before showing payment method"
"Customweb_OPPCw::Belgium","Belgique (BE)"
"Customweb_OPPCw::Beside the default channel id a set of channel ids depending on the order total amount can be defined. Each line must contain a lower amount, an upper amount and the applicable channel id. The format is as follow 'lower amount;upper amount;channel id'. The following example shows a conrete on: '10.00;200.00;23413113213131231353' The upper boundaries are not included. If you leave this field empty or if a amount is outside any range the default channel id is applied. If multiple conditions match, the last one is taken.","A côté du channel ID par défaut d'autres channel ID's dépendant du montant total de la commande peuvent être définis. Chaque ligne doit contenir un montant inférieur, un montant supérieur et le channel ID correspondant. Le format est le suivant 'montant inférieur;montant supérieur;channel ID'. Voici un example: '10.00;200.00;23413113213131231353' Les limites supérieures ne sont pas inclus. Si vous laissez ce champ vide ou si un montant est en dehors de toute gamme du channel ID par défaut est appliquée. Si plusieurs conditions sont identiques, la dernière est prise."
"Customweb_OPPCw::BillSAFE","BillSAFE"
"Customweb_OPPCw::BillSAFE (supports Payment Page and Hidden Authorization)","BillSAFE (supports Payment Page and Hidden Authorization)"
"Customweb_OPPCw::Billing Address","Adresse de facturation"
"Customweb_OPPCw::Billing Information","Information de facturation"
"Customweb_OPPCw::Billing address","Billing address"
"Customweb_OPPCw::Boni score result","Boni score result"
"Customweb_OPPCw::Brand","Brand"
"Customweb_OPPCw::Brand Code","Code de la marque"
"Customweb_OPPCw::Brand Name","Nom de marque"
"Customweb_OPPCw::Buy","Buy"
"Customweb_OPPCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","En configurant la capture, les réservations peuvent être capturés directement après la commande ou plus tard manuellement depuis le backend du magasin."
"Customweb_OPPCw::COPYandPAY Style","COPYandPAY Style"
"Customweb_OPPCw::CVC Code","Code de sécurité (CVC)"
"Customweb_OPPCw::CVC:","CVC:"
"Customweb_OPPCw::Cache Timeout","Cache Timeout"
"Customweb_OPPCw::Cancel","Annuler"
"Customweb_OPPCw::Cancel ID","Cancel ID"
"Customweb_OPPCw::Cancel pending orders when out of stock","Annuler les commandes en attentes si l'article n'est pas en stock"
"Customweb_OPPCw::Cancel status","Statut d'annulation"
"Customweb_OPPCw::Canceled OPPCw","OPPCw Annulé"
"Customweb_OPPCw::Canceling of this payment not possible!","L'annulation de ce paiement n'est pas possible!"
"Customweb_OPPCw::Cancellation is not supported by this transaction.","L'annulation n'est pas acceptée par cette transaction."
"Customweb_OPPCw::Cancelled Status","Statut Annulé"
"Customweb_OPPCw::Cannot redirect from a deferred capture","Cannot redirect from a deferred capture"
"Customweb_OPPCw::Cannot update item quantity.","Vous ne pouvez pas mettre à jour la quantité de l'article."
"Customweb_OPPCw::Capture (Don't Close)","Capture (Don't Close)"
"Customweb_OPPCw::Capture Amount","Montant de comptabilisation"
"Customweb_OPPCw::Capture ID","ID de comptabilisation"
"Customweb_OPPCw::Capture amount","Montant comptabilisé"
"Customweb_OPPCw::Capture information","Information de comptabilisation"
"Customweb_OPPCw::Capture status","Statut de combtabilisation"
"Customweb_OPPCw::Captured Amount","Montant comptabilisé"
"Customweb_OPPCw::Captured Status","Statut de capture"
"Customweb_OPPCw::Captures","Comptabilisations"
"Customweb_OPPCw::Captures & Refunds","Captures et Remboursements"
"Customweb_OPPCw::Capturing","Comptabiliser"
"Customweb_OPPCw::Card","Carte"
"Customweb_OPPCw::Card Brand","Card Brand"
"Customweb_OPPCw::Card CVC/2","Card CVC/2"
"Customweb_OPPCw::Card Expiration","Date d'expiration de la carte"
"Customweb_OPPCw::Card Expiry","Date d'expiration"
"Customweb_OPPCw::Card Holder Name","Titulaire de la carte"
"Customweb_OPPCw::Card Number","Numéro de la carte"
"Customweb_OPPCw::Card Type","Type de la carte de crédit"
"Customweb_OPPCw::Card to use","Card to use"
"Customweb_OPPCw::Cardnumber:","Cardnumber:"
"Customweb_OPPCw::Cardtype:","Cardtype:"
"Customweb_OPPCw::Carrier Title","Titre du transporteur"
"Customweb_OPPCw::Carte Bleue","Carte Bleue"
"Customweb_OPPCw::Channel Conditions","Conditions du Channel"
"Customweb_OPPCw::Channel ID","Channel ID"
"Customweb_OPPCw::Channel ID (MoTo)","Channel ID (MoTo)"
"Customweb_OPPCw::Channel ID (No 3D secure)","Channel ID (Sans 3D secure)"
"Customweb_OPPCw::Check out faster","Commander plus vite"
"Customweb_OPPCw::Check to activate the external checkout.","Marquer cette option pour activer la vérification externe."
"Customweb_OPPCw::Checkout","Checkout"
"Customweb_OPPCw::Checkout as Guest","Checkout en tant qu'invité"
"Customweb_OPPCw::Checkout as a Guest or Register","Passer à la caisse en tant que client ou créer un compte"
"Customweb_OPPCw::Checkout as a new customer","Commander en tant que nouveau client"
"Customweb_OPPCw::Checkout using your account","Commander en utilisant votre compte"
"Customweb_OPPCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status.","Séléctionnez 'Génération après la commande' si vous voulez qu'une facture soit créée pour la commande. Le statut de la facture sera celui du statut de la comptabilisation."
"Customweb_OPPCw::City","City"
"Customweb_OPPCw::Classes","Classes"
"Customweb_OPPCw::Color","Color"
"Customweb_OPPCw::Company Commercial Number","Société Nombre de commerce"
"Customweb_OPPCw::Company VAT Number","Company VAT Number"
"Customweb_OPPCw::Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>.","Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>."
"Customweb_OPPCw::Confirm Mandate","Confirm Mandate"
"Customweb_OPPCw::Confirm Password","Confirmer le mot de passe"
"Customweb_OPPCw::Connector Test Mode","Connector Mode Test"
"Customweb_OPPCw::Connector Transaction ID","Connector Transaction ID"
"Customweb_OPPCw::Consumer score type invalid.","Consumer score type invalid."
"Customweb_OPPCw::Continue","Continuer"
"Customweb_OPPCw::Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter.","Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter."
"Customweb_OPPCw::Copy the shown encryption key into the configuration.","Copy the shown encryption key into the configuration."
"Customweb_OPPCw::Could not add proposed address changes.","Could not add proposed address changes."
"Customweb_OPPCw::Could not convert object of type '!type' to string.","Impossible de convertir objet de type '!type' à string."
"Customweb_OPPCw::Could not execute scheduled update.","Could not execute scheduled update."
"Customweb_OPPCw::Could not find a brand for the given card number.","Impossible de trouver une marque pour le numéro de carte donnée."
"Customweb_OPPCw::Could not find an adapter for the authoriztion method !methodName.","Impossible de trouver un adaptateur pour la mode d'autorisation !methodName."
"Customweb_OPPCw::Could not find pressed button.","Impossible de trouver le bouton pressé."
"Customweb_OPPCw::Could not find template file at default location '!location'.","Impossible de trouver le fichier template dans le répertoire par défaut '!location'."
"Customweb_OPPCw::Could not find the payment method !paymentMethodName.","Impossible de trouver le mode de paiement !paymentMethodName."
"Customweb_OPPCw::Could not load layout from URL !url. Reason: !reason","Impossible de charger le template à partir de l'URL !url. Raison: !reason"
"Customweb_OPPCw::Country","Country"
"Customweb_OPPCw::Country Restriction","Country Restriction"
"Customweb_OPPCw::Create Account","Créer un compte"
"Customweb_OPPCw::Create New Order - Payment","Créer nouvelle commande - Paiement"
"Customweb_OPPCw::Create a recurring payment, with an existing alias is not supported","Création d'un paiement récurrent avec un alias existant n'est pas possible."
"Customweb_OPPCw::Creating an account has many benefits:","La création d'un compte a de nombreux avantages:"
"Customweb_OPPCw::Creation Date","Date de création"
"Customweb_OPPCw::Credit Card Brands","Types de cartes de crédit"
"Customweb_OPPCw::Credit Card Number","Credit Card Number"
"Customweb_OPPCw::Credit Memo History","Histoire de note de crédit"
"Customweb_OPPCw::Credit Memo Totals","Totaux note de crédit"
"Customweb_OPPCw::Credit memo's total must be positive.","Total de note de crédit doit être positive."
"Customweb_OPPCw::Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank.","Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank."
"Customweb_OPPCw::Creditworthiness was denied.","Creditworthiness was denied."
"Customweb_OPPCw::Currency","Monnaie"
"Customweb_OPPCw::Current Configuration Scope:","Champ d'application actuel de la configuration:"
"Customweb_OPPCw::Custom CSS Url","URL CSS personnalisée"
"Customweb_OPPCw::Custom Cancel Button","Button 'annuler' personnalisé"
"Customweb_OPPCw::Custom JS Url","URL JS personnalisée"
"Customweb_OPPCw::Custom Parameters","Paramètres personnalisés"
"Customweb_OPPCw::Custom Pay Button","Bouton 'payer' personnalisé"
"Customweb_OPPCw::Customer Account","Compte client"
"Customweb_OPPCw::Customer Alias Management","Gestion des Alias du client"
"Customweb_OPPCw::Customer Date of Birth","Customer Date of Birth"
"Customweb_OPPCw::Customer Gender","Customer Gender"
"Customweb_OPPCw::Customer Phone Number","Customer Phone Number"
"Customweb_OPPCw::Customer successfully returned from OPPCw","Le client est retourné de OPPCw avec succès"
"Customweb_OPPCw::Customer successfully returned from Open Payment Platform","Client retourné avec succès de la page de paiement de OPPCw."
"Customweb_OPPCw::Customer sucessfully returned from the OPPCw payment page.","Client retourné avec succès de la page de paiement de OPPCw."
"Customweb_OPPCw::Customers","Clients"
"Customweb_OPPCw::Customweb","Customweb"
"Customweb_OPPCw::Czech Republic","Czech Republic"
"Customweb_OPPCw::Dankort","Dankort"
"Customweb_OPPCw::Date","Date"
"Customweb_OPPCw::Date of Birth","Date de naissance"
"Customweb_OPPCw::Date of birth must be provided.","Date of birth must be provided."
"Customweb_OPPCw::Day","Jour"
"Customweb_OPPCw::Deactivate","Désactiver"
"Customweb_OPPCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Cher client, nous avons reçu votre information de facturation et de livraison. Pour terminer votre commande veuillez créer un compte ci-dessous ou continuez en tant qu'invité."
"Customweb_OPPCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Cher client, il nous semble que votre paiement a été un succès, mais nous sommes toujours en attente de la confirmation. Vous pouvez attendre sur cette page et vous serez redirigé après que nous ayons reçu la confirmation. Vous pouvez aussi fermer cette fenêtre et nous vous enverrons un e-mail de confirmation de la commande."
"Customweb_OPPCw::Debtor ID","Debtor ID"
"Customweb_OPPCw::Decline Message","Decline Message"
"Customweb_OPPCw::Declined by test data.","Declined by test data."
"Customweb_OPPCw::Default Config","Configuration par défaut"
"Customweb_OPPCw::Deferred","Differé"
"Customweb_OPPCw::Deferred (authorization)","Différé (autorisation)"
"Customweb_OPPCw::Deferred capturing","Comptabilisation retardée"
"Customweb_OPPCw::Deferred settlement","Génération retardée"
"Customweb_OPPCw::Define a maximal order total for this checkout to be available.","Définir un total de commande maximale pour que ce checkout soit disponible."
"Customweb_OPPCw::Define a minimal order total for this checkout to be available.","Définir un total de commande minimale pour que ce checkout soit disponible."
"Customweb_OPPCw::Define the height of the iframe element (only has an effect if iframe authorization is selected).","Définir la hauteur de l'élément iframe (ceci n'a qu'un effet si le mode d'autorisation iframe est sélectionné)."
"Customweb_OPPCw::Define the payment methods, the customer can choose from. List them separated by a space.","Définissez quelles méthodes de paiement, le client peut choisir. Listez-les séparés par un espace."
"Customweb_OPPCw::Define the style to be used for the COPYandPAY payment form.","Définissez le style à utiliser pour le formulaire de paiement de COPYandPAY."
"Customweb_OPPCw::Delayed","Differé"
"Customweb_OPPCw::Delete","Effacer"
"Customweb_OPPCw::Delivery address","Delivery address"
"Customweb_OPPCw::Denied Payment Status","Statut de paiement refusé"
"Customweb_OPPCw::Deny scoring","Deny scoring"
"Customweb_OPPCw::Deptor ID","Deptor ID"
"Customweb_OPPCw::Description","Description"
"Customweb_OPPCw::Diners Club","Diners Club"
"Customweb_OPPCw::Direct (Payment Page / Hidden Authorization)","Direct (Payment Page / Hidden Authorization)"
"Customweb_OPPCw::Direct Debits","Direct Debits"
"Customweb_OPPCw::Direct E-Banking","Sofort Banking"
"Customweb_OPPCw::Direct capture after order","Directement après la commande"
"Customweb_OPPCw::Directly after order","Directement après la commande"
"Customweb_OPPCw::Directly after order (sale)","Directement après la commande"
"Customweb_OPPCw::Disabled","Désactivé"
"Customweb_OPPCw::Discount","Rabais"
"Customweb_OPPCw::Discount Amount","Montant du rabais"
"Customweb_OPPCw::Discover","Discover"
"Customweb_OPPCw::Display","Display"
"Customweb_OPPCw::Display Conditions","Display Conditions"
"Customweb_OPPCw::Display Customer ID","Display Customer ID"
"Customweb_OPPCw::Do not display","Do not display"
"Customweb_OPPCw::Do not modify styling","Do not modify styling"
"Customweb_OPPCw::Do not send basket","Do not send basket"
"Customweb_OPPCw::Don't change order status","Ne pas modifier le statut de la commande"
"Customweb_OPPCw::Due Date","Due Date"
"Customweb_OPPCw::During authorization","Pendant l'autorisation"
"Customweb_OPPCw::During the authorization","During the authorization"
"Customweb_OPPCw::Dynamic styling","Dynamic styling"
"Customweb_OPPCw::Edit","Modifier"
"Customweb_OPPCw::Edit Invoice #%s","Modifier Facture #%s"
"Customweb_OPPCw::Email Address","E-mail"
"Customweb_OPPCw::Empty version number field name","Nom de champ de numéro de version vide"
"Customweb_OPPCw::Enable or disable logging.","Activer ou désactiver le logging."
"Customweb_OPPCw::Enable the payment method","Activer le mode de paiement"
"Customweb_OPPCw::Enabled","Activé"
"Customweb_OPPCw::Enter the Security Sender, UserID and Password that is provided to you by Open Payment Platform.","Insérez Security Sender, UserID and mot de passe qui vous est fourni par Open Payment Platform."
"Customweb_OPPCw::Enter the date on which your card expires.","Veuillez sélectionner la date d’expiration"
"Customweb_OPPCw::Entity ID","Entity ID"
"Customweb_OPPCw::Entity ID (MoTo)","Entity ID (MoTo)"
"Customweb_OPPCw::Error with the length of the validation date.","Erreur avec la longueur de la date de validation."
"Customweb_OPPCw::Excl. Tax","Excl. impôt"
"Customweb_OPPCw::Expiry Date:","Expiry Date:"
"Customweb_OPPCw::Expiry Month","Expiry Month"
"Customweb_OPPCw::Expiry Year","Expiry Year"
"Customweb_OPPCw::External","Externe"
"Customweb_OPPCw::External Checkout","Vérification externe"
"Customweb_OPPCw::External Checkout: Guest Checkout","Validation externe : Guest Checkout"
"Customweb_OPPCw::Failed","Raté"
"Customweb_OPPCw::Failed payment authorization.","L'autorisation a été refusée."
"Customweb_OPPCw::FemaIframe Heightle","FemaIframe Heightle"
"Customweb_OPPCw::Female","Femelle"
"Customweb_OPPCw::Figure !number:","Image !number:"
"Customweb_OPPCw::First name","First name"
"Customweb_OPPCw::For recurring and moto transactions to work, you have to specify a separate channel.","Si vous souhaitez utiliser les transactions récurrentes et moto, vous devez définir un canal séparé."
"Customweb_OPPCw::Forgot Your Password?","Vous avez oublié votre mot de passe?"
"Customweb_OPPCw::Forgot your password?","Mot de passe oublié?"
"Customweb_OPPCw::Frontend API does not currently support transactions from country @country.","Frontend API does not currently support transactions from country @country."
"Customweb_OPPCw::Frontend Version (IFrame)","Frontend Version (IFrame)"
"Customweb_OPPCw::Frontend Version (Payment Page)","Frontend Version (Payment Page)"
"Customweb_OPPCw::Gender","Sexe"
"Customweb_OPPCw::Gender is invalid.","Gender is invalid."
"Customweb_OPPCw::Gender is missing.","Gender is missing."
"Customweb_OPPCw::Germany","Allemagne (DE)"
"Customweb_OPPCw::Get Update","Mettre à jour"
"Customweb_OPPCw::Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","ID du créditeur: !CREDITOR_ID<br/> Référence de mandat: !MANDATE_REFERENCE<br/>Date: !DATE<br/> J'autorise (!CUSTOMER) révocablement !MERCHANT_NAME d'utiliser les informations de mon compte et les débiter directement pour les paiements dans l'avenir à être effectués. De plus, je instruit ma banque pour traiter les paiements par prélèvement automatique. <br/> Remarque: Dans les huit premières semaines après la date de débit je peux demander un remboursement pour le montant débité. Les conditions de mon institut de crédit sont applicables. <br/> Je confirme le mandat de prélèvement SEPA"
"Customweb_OPPCw::Green","Green"
"Customweb_OPPCw::Hash calculating method","Hash calculating method"
"Customweb_OPPCw::Here you can activate Payone address checking.","Here you can activate Payone address checking."
"Customweb_OPPCw::Here you can activate a scoring check on transactions. Setting this option to inactive means that the values selected in allow scoring, uncertain scoring and deny scoring are ignored.","Here you can activate a scoring check on transactions. Setting this option to inactive means that the values selected in allow scoring, uncertain scoring and deny scoring are ignored."
"Customweb_OPPCw::Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page.","Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Ici vous pouvez insérer un préfixe de la commande. Le préfixe vous permet de changer le numéro de commande qui est transmis à Open Payment Platform. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de commande (par exemple name-{id}). Assurez-vous de ne pas utiliser '_'."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Open Payment Platform . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Ici vous pouvez insérer un préfixe de la commande. Le préfixe vous permet de changer le numéro de commande qui est transmis à Open Payment Platform. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de commande (par exemple name-{id}). Assurez-vous de ne pas utiliser '_'."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_OPPCw::Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution.","Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution."
"Customweb_OPPCw::Here you can set the maximum cart amount for which addresses should be checked.","Here you can set the maximum cart amount for which addresses should be checked."
"Customweb_OPPCw::Here you can set the maximum cart amount for which scoring should be checked.","Here you can set the maximum cart amount for which scoring should be checked."
